Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Age,Regions,Value
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Almaty,17.249773041705218
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Almaty,48.16649602496687
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Almaty,30.35955124616781
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Almaty,6.558804676646064
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Almaty,8.400502353695288
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Almaty,8.505497756520882
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Almaty,16.844873642963424
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Almaty,1.805369847756666
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Atyrau,18.647869034461223
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Atyrau,10.889756793862103
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Atyrau,49.46546195288531
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Atyrau,23.47035878729004
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Atyrau,3.783399334863181
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Atyrau,3.423075588685735
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Atyrau,12.238864410223876
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Atyrau,20.99121246214618
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Atyrau,3.226310076674117
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Batys Kazakhstan,24.196782962542944
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Batys Kazakhstan,22.521346853006904
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Batys Kazakhstan,76.56390714118942
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Batys Kazakhstan,46.03874120276175
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Batys Kazakhstan,12.261724091924886
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Batys Kazakhstan,15.785622560955272
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Batys Kazakhstan,21.87718888629465
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Batys Kazakhstan,16.853799072746074
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Batys Kazakhstan,7.39176478436343
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Zhambyl,11.491325905819552
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Zhambyl,6.101514685130181
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Zhambyl,20.906838935949352
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Zhambyl,27.02727552558255
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Zhambyl,5.929885016116932
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Zhambyl,9.34182420484694
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Zhambyl,14.0814947771546
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Zhambyl,6.562702794178983
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Zhambyl,0.8692083315011068
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Karagandy,32.07563938726595
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Karagandy,25.087144522384403
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Karagandy,52.86337347999933
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Karagandy,30.08389823690213
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Karagandy,16.533041947247394
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Karagandy,14.12078053051976
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Karagandy,19.287519856602124
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Karagandy,24.87056956873986
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Karagandy,1.527251023000915
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Kostanay,27.79827902503506
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Kostanay,21.26899660634922
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Kostanay,45.62998614577023
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Kostanay,40.38811614956919
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Kostanay,10.457613259387616
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Kostanay,9.46324392341619
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Kostanay,17.970673095255243
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Kostanay,20.72146501771675
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Kostanay,2.3595970551641257
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Kyzylorda,15.475442515629606
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Kyzylorda,15.999790571042958
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Kyzylorda,22.29584555002249
