Year,UNIT_MEASURE,Regions,Value
2016,thousand people,Karagandy,2098.0
2016,thousand people,Kostanay,497.0
2016,thousand people,Kyzylorda,679.0
2016,thousand people,Mangistau,883.0
2016,thousand people,Ontustik Kazakhstan,1908.0
2016,thousand people,Pavlodar,1324.0
2016,thousand people,Soltustik Kazakhstan,869.0
2016,thousand people,Shygys Kazakhstan,1049.0
2016,thousand people,Nur-Sultan city,494.0
2016,thousand people,Almaty city,3986.0
2017,thousand people,,17902.0
2017,thousand people,Akmola,1819.0
2017,thousand people,Aktobe,746.0
2017,thousand people,Almaty,1270.0
2017,thousand people,Atyrau,744.0
2017,thousand people,Batys Kazakhstan,1036.0
2017,thousand people,Zhambyl,1416.0
2017,thousand people,Karagandy,601.0
2017,thousand people,Kostanay,394.0
2017,thousand people,Kyzylorda,145.0
2017,thousand people,Mangistau,853.0
2017,thousand people,Ontustik Kazakhstan,2860.0
2017,thousand people,Pavlodar,1055.0
2017,thousand people,Soltustik Kazakhstan,380.0
2017,thousand people,Shygys Kazakhstan,3278.0
2017,thousand people,Nur-Sultan city,230.0
2017,thousand people,Almaty city,1075.0
2018,thousand people,,16793.0
2018,thousand people,Akmola,1546.0
2018,thousand people,Aktobe,538.0
2018,thousand people,Almaty,866.0
2018,thousand people,Atyrau,362.0
2018,thousand people,Batys Kazakhstan,497.0
2018,thousand people,Zhambyl,1091.0
2018,thousand people,Karagandy,989.0
2018,thousand people,Kostanay,378.0
2018,thousand people,Kyzylorda,486.0
2018,thousand people,Mangistau,120.0
2018,thousand people,Pavlodar,1436.0
2018,thousand people,Soltustik Kazakhstan,162.0
2018,thousand people,Turkistan,1135.0
2018,thousand people,Shygys Kazakhstan,1676.0
2018,thousand people,Nur-Sultan city,91.0
2018,thousand people,Almaty city,4100.0
2018,thousand people,Shymkent city,1320.0
2019,thousand people,,6152.0
2019,thousand people,Akmola,139.0
2019,thousand people,Aktobe,80.0
2019,thousand people,Almaty,973.0
2019,thousand people,Atyrau,113.0
2019,thousand people,Zhambyl,127.0
2019,thousand people,Karagandy,881.0
2019,thousand people,Kostanay,550.0
2019,thousand people,Kyzylorda,105.0
2019,thousand people,Mangistau,40.0
2019,thousand people,Pavlodar,95.0
2019,thousand people,Soltustik Kazakhstan,158.0
2019,thousand people,Turkistan,541.0
2019,thousand people,Shygys Kazakhstan,480.0
2019,thousand people,Nur-Sultan city,75.0
2019,thousand people,Almaty city,1225.0
2019,thousand people,Shymkent city,570.0
