Year,UNIT_MEASURE,SERIES,Regions,Value
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kyzylorda,19.3
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Mangistau,27.5
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Ontustik Kazakhstan,42.8
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Pavlodar,44.2
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Soltustik Kazakhstan,37.9
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Shygys Kazakhstan,58.9
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Nur-Sultan city,44.3
2015,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty city,112.2
2015,thousands,выше 10 Мбит/сек,Akmola,22.3
2015,thousands,выше 10 Мбит/сек,Aktobe,20.5
2015,thousands,выше 10 Мбит/сек,Almaty,26.6
2015,thousands,выше 10 Мбит/сек,Atyrau,18.8
2015,thousands,выше 10 Мбит/сек,Batys Kazakhstan,14.8
2015,thousands,выше 10 Мбит/сек,Zhambyl,12.0
2015,thousands,выше 10 Мбит/сек,Karagandy,64.7
2015,thousands,выше 10 Мбит/сек,Kostanay,37.2
2015,thousands,выше 10 Мбит/сек,Kyzylorda,11.2
2015,thousands,выше 10 Мбит/сек,Mangistau,23.9
2015,thousands,выше 10 Мбит/сек,Ontustik Kazakhstan,21.1
2015,thousands,выше 10 Мбит/сек,Pavlodar,39.4
2015,thousands,выше 10 Мбит/сек,Soltustik Kazakhstan,18.8
2015,thousands,выше 10 Мбит/сек,Shygys Kazakhstan,52.2
2015,thousands,выше 10 Мбит/сек,Nur-Sultan city,46.2
2015,thousands,выше 10 Мбит/сек,Almaty city,580.9
2016,thousands,,,2349.9
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,,197.4
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Akmola,4.0
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Aktobe,11.1
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty,8.9
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Atyrau,6.2
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Batys Kazakhstan,4.3
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Zhambyl,3.6
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Karagandy,8.2
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kostanay,19.8
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kyzylorda,7.8
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Mangistau,12.0
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Ontustik Kazakhstan,7.1
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Pavlodar,5.0
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Soltustik Kazakhstan,17.8
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Shygys Kazakhstan,28.5
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Nur-Sultan city,23.7
2016,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty city,29.5
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,,837.7
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Akmola,68.5
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Aktobe,42.0
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty,104.6
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Atyrau,44.7
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Batys Kazakhstan,22.6
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Zhambyl,37.1
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Karagandy,74.6
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kostanay,46.0
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kyzylorda,24.8
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Mangistau,21.5
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Ontustik Kazakhstan,60.0
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Pavlodar,44.1
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Soltustik Kazakhstan,39.7
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Shygys Kazakhstan,53.0
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Nur-Sultan city,58.5
2016,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty city,95.9
2016,thousands,выше 10 Мбит/сек,Akmola,24.7
2016,thousands,выше 10 Мбит/сек,Aktobe,22.4
2016,thousands,выше 10 Мбит/сек,Almaty,26.2
2016,thousands,выше 10 Мбит/сек,Atyrau,21.1
2016,thousands,выше 10 Мбит/сек,Batys Kazakhstan,15.0
2016,thousands,выше 10 Мбит/сек,Zhambyl,13.7
2016,thousands,выше 10 Мбит/сек,Karagandy,73.0
2016,thousands,выше 10 Мбит/сек,Kostanay,39.0
2016,thousands,выше 10 Мбит/сек,Kyzylorda,11.4
2016,thousands,выше 10 Мбит/сек,Mangistau,27.2
2016,thousands,выше 10 Мбит/сек,Ontustik Kazakhstan,21.6
2016,thousands,выше 10 Мбит/сек,Pavlodar,50.1
2016,thousands,выше 10 Мбит/сек,Soltustik Kazakhstan,23.5
2016,thousands,выше 10 Мбит/сек,Shygys Kazakhstan,51.6
2016,thousands,выше 10 Мбит/сек,Nur-Sultan city,77.6
2016,thousands,выше 10 Мбит/сек,Almaty city,728.9
2017,thousands,,,2576.0
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,,71.3
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Akmola,3.8
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Aktobe,3.2
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty,1.2
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Atyrau,4.2
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Batys Kazakhstan,1.6
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Zhambyl,0.8
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Karagandy,1.6
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kostanay,5.9
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Kyzylorda,3.9
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Mangistau,5.8
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Ontustik Kazakhstan,4.1
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Pavlodar,0.9
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Soltustik Kazakhstan,4.9
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Shygys Kazakhstan,3.0
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Nur-Sultan city,21.7
2017,thousands,от 256 кБит/сек до менее 2 Мбит/сек,Almaty city,5.0
