Year,UNIT_MEASURE,SERIES,Өңірлер,GeoCode,Value
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,298.1
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,335.5
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,367.5
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,397.4
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,60.2
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,73.8
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,81.5
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,85.5
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,85.5
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,85.3
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,84.8
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,88.8
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Маңғыстау,,89.3
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,1337.6
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,1800.5
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2149.9
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2257.6
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2262.5
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2347.4
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2478.5
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Оңтүстік Қазақстан,,2607.6
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,798.3
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1044.1
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1166.3
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1194.6
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1195.6
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1240.8
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1244.5
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1225.0
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Павлодар,,1234.0
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,365.5
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,453.9
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,470.7
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,492.8
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,496.1
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,495.2
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,506.8
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,501.6
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Солтүстік Қазақстан,,507.4
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Түркістан,,820.6
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1272.7
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1419.3
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1459.9
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1606.7
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1654.2
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1681.0
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1705.2
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1709.2
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шығыс Қазақстан,,1714.9
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,1408.9
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,1647.9
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,1750.1
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,1961.0
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,2180.3
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,2279.0
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,2441.1
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Нұр-Сұлтан қаласы,,2558.0
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,2595.5
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,3190.6
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,3802.8
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,4238.8
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,4808.6
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,4984.8
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,4984.2
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,5097.2
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы қаласы,,5202.4
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Шымкент қаласы,,1808.6
2010,млн.тонна,_L_KZ_090102_1J,,,1971.8
2011,млн.тонна,_L_KZ_090102_1J,,,2475.5
2012,млн.тонна,_L_KZ_090102_1J,,,2718.4
2013,млн.тонна,_L_KZ_090102_1J,,,2983.4
2014,млн.тонна,_L_KZ_090102_1J,,,3129.1
2015,млн.тонна,_L_KZ_090102_1J,,,3174.0
2016,млн.тонна,_L_KZ_090102_1J,,,3180.7
2017,млн.тонна,_L_KZ_090102_1J,,,3322.3
2018,млн.тонна,_L_KZ_090102_1J,,,3422.3
2010,млн.тонна,_L_KZ_090102_1J,Ақмола,,95.8
2011,млн.тонна,_L_KZ_090102_1J,Ақмола,,112.4
2012,млн.тонна,_L_KZ_090102_1J,Ақмола,,112.6
2013,млн.тонна,_L_KZ_090102_1J,Ақмола,,121.5
2014,млн.тонна,_L_KZ_090102_1J,Ақмола,,121.3
2015,млн.тонна,_L_KZ_090102_1J,Ақмола,,120.3
2016,млн.тонна,_L_KZ_090102_1J,Ақмола,,113.1
2017,млн.тонна,_L_KZ_090102_1J,Ақмола,,116.1
2018,млн.тонна,_L_KZ_090102_1J,Ақмола,,126.5
2010,млн.тонна,_L_KZ_090102_1J,Ақтөбе,,41.0
2011,млн.тонна,_L_KZ_090102_1J,Ақтөбе,,54.5
2012,млн.тонна,_L_KZ_090102_1J,Ақтөбе,,58.1
2013,млн.тонна,_L_KZ_090102_1J,Ақтөбе,,62.2
2014,млн.тонна,_L_KZ_090102_1J,Ақтөбе,,63.6
2015,млн.тонна,_L_KZ_090102_1J,Ақтөбе,,70.1
2016,млн.тонна,_L_KZ_090102_1J,Ақтөбе,,76.3
2017,млн.тонна,_L_KZ_090102_1J,Ақтөбе,,76.8
2018,млн.тонна,_L_KZ_090102_1J,Ақтөбе,,79.1
2010,млн.тонна,_L_KZ_090102_1J,Алматы,,116.6
2011,млн.тонна,_L_KZ_090102_1J,Алматы,,142.7
2012,млн.тонна,_L_KZ_090102_1J,Алматы,,158.1
2013,млн.тонна,_L_KZ_090102_1J,Алматы,,159.0
2014,млн.тонна,_L_KZ_090102_1J,Алматы,,159.9
2015,млн.тонна,_L_KZ_090102_1J,Алматы,,167.2
2016,млн.тонна,_L_KZ_090102_1J,Алматы,,179.0
2017,млн.тонна,_L_KZ_090102_1J,Алматы,,181.1
2018,млн.тонна,_L_KZ_090102_1J,Алматы,,184.5
2010,млн.тонна,_L_KZ_090102_1J,Атырау,,52.1
2011,млн.тонна,_L_KZ_090102_1J,Атырау,,71.5
2012,млн.тонна,_L_KZ_090102_1J,Атырау,,72.4
2013,млн.тонна,_L_KZ_090102_1J,Атырау,,82.6
2014,млн.тонна,_L_KZ_090102_1J,Атырау,,82.1
2015,млн.тонна,_L_KZ_090102_1J,Атырау,,75.7
2016,млн.тонна,_L_KZ_090102_1J,Атырау,,75.0
2017,млн.тонна,_L_KZ_090102_1J,Атырау,,75.9
2018,млн.тонна,_L_KZ_090102_1J,Атырау,,59.9
2010,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,,30.0
2011,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,,33.8
2012,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,,35.7
2013,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,,38.8
2014,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,,39.9
2015,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,,39.5
2016,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,,39.4
2017,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,,39.3
2018,млн.тонна,_L_KZ_090102_1J,Батыс Қазақстан,,39.5
2010,млн.тонна,_L_KZ_090102_1J,Жамбыл,,56.0
2011,млн.тонна,_L_KZ_090102_1J,Жамбыл,,70.5
2012,млн.тонна,_L_KZ_090102_1J,Жамбыл,,80.4
2013,млн.тонна,_L_KZ_090102_1J,Жамбыл,,88.4
2014,млн.тонна,_L_KZ_090102_1J,Жамбыл,,88.9
2015,млн.тонна,_L_KZ_090102_1J,Жамбыл,,91.3
2016,млн.тонна,_L_KZ_090102_1J,Жамбыл,,91.3
2017,млн.тонна,_L_KZ_090102_1J,Жамбыл,,100.1
2018,млн.тонна,_L_KZ_090102_1J,Жамбыл,,103.5
2010,млн.тонна,_L_KZ_090102_1J,Қарағанды,,444.0
2011,млн.тонна,_L_KZ_090102_1J,Қарағанды,,551.1
2012,млн.тонна,_L_KZ_090102_1J,Қарағанды,,619.7
2013,млн.тонна,_L_KZ_090102_1J,Қарағанды,,676.7
2014,млн.тонна,_L_KZ_090102_1J,Қарағанды,,719.2
2015,млн.тонна,_L_KZ_090102_1J,Қарағанды,,709.9
2016,млн.тонна,_L_KZ_090102_1J,Қарағанды,,727.5
2017,млн.тонна,_L_KZ_090102_1J,Қарағанды,,795.5
2018,млн.тонна,_L_KZ_090102_1J,Қарағанды,,825.6
2010,млн.тонна,_L_KZ_090102_1J,Қостанай,,221.5
2011,млн.тонна,_L_KZ_090102_1J,Қостанай,,268.0
2012,млн.тонна,_L_KZ_090102_1J,Қостанай,,275.6
2013,млн.тонна,_L_KZ_090102_1J,Қостанай,,299.7
2014,млн.тонна,_L_KZ_090102_1J,Қостанай,,297.3
2015,млн.тонна,_L_KZ_090102_1J,Қостанай,,294.9
2016,млн.тонна,_L_KZ_090102_1J,Қостанай,,277.3
2017,млн.тонна,_L_KZ_090102_1J,Қостанай,,291.5
2018,млн.тонна,_L_KZ_090102_1J,Қостанай,,297.1
2010,млн.тонна,_L_KZ_090102_1J,Қызылорда,,66.3
2011,млн.тонна,_L_KZ_090102_1J,Қызылорда,,95.5
2012,млн.тонна,_L_KZ_090102_1J,Қызылорда,,98.4
2013,млн.тонна,_L_KZ_090102_1J,Қызылорда,,106.1
2014,млн.тонна,_L_KZ_090102_1J,Қызылорда,,107.2
2015,млн.тонна,_L_KZ_090102_1J,Қызылорда,,108.7
2016,млн.тонна,_L_KZ_090102_1J,Қызылорда,,104.3
2017,млн.тонна,_L_KZ_090102_1J,Қызылорда,,104.6
2018,млн.тонна,_L_KZ_090102_1J,Қызылорда,,104.5
2010,млн.тонна,_L_KZ_090102_1J,Маңғыстау,,136.9
2011,млн.тонна,_L_KZ_090102_1J,Маңғыстау,,182.0
2012,млн.тонна,_L_KZ_090102_1J,Маңғыстау,,203.7
2013,млн.тонна,_L_KZ_090102_1J,Маңғыстау,,211.1
2014,млн.тонна,_L_KZ_090102_1J,Маңғыстау,,214.0
2015,млн.тонна,_L_KZ_090102_1J,Маңғыстау,,225.3
2016,млн.тонна,_L_KZ_090102_1J,Маңғыстау,,216.4
2017,млн.тонна,_L_KZ_090102_1J,Маңғыстау,,236.5
2018,млн.тонна,_L_KZ_090102_1J,Маңғыстау,,236.1
2010,млн.тонна,_L_KZ_090102_1J,Оңтүстік Қазақстан,,77.5
2011,млн.тонна,_L_KZ_090102_1J,Оңтүстік Қазақстан,,106.5
2012,млн.тонна,_L_KZ_090102_1J,Оңтүстік Қазақстан,,123.8
2013,млн.тонна,_L_KZ_090102_1J,Оңтүстік Қазақстан,,133.0
2014,млн.тонна,_L_KZ_090102_1J,Оңтүстік Қазақстан,,145.4
2015,млн.тонна,_L_KZ_090102_1J,Оңтүстік Қазақстан,,155.0
2016,млн.тонна,_L_KZ_090102_1J,Оңтүстік Қазақстан,,158.7
2010,млн.тонна,_L_KZ_090102_1J,Павлодар,,57.8
2011,млн.тонна,_L_KZ_090102_1J,Павлодар,,70.2
2012,млн.тонна,_L_KZ_090102_1J,Павлодар,,76.6
2013,млн.тонна,_L_KZ_090102_1J,Павлодар,,83.3
2014,млн.тонна,_L_KZ_090102_1J,Павлодар,,91.8
2015,млн.тонна,_L_KZ_090102_1J,Павлодар,,93.6
2016,млн.тонна,_L_KZ_090102_1J,Павлодар,,97.7
2017,млн.тонна,_L_KZ_090102_1J,Павлодар,,88.6
2018,млн.тонна,_L_KZ_090102_1J,Павлодар,,90.4
2010,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,,40.0
2011,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,,46.0
2012,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,,46.1
2013,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,,49.3
2014,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,,49.9
2015,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,,49.7
2016,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,,48.2
2017,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,,51.4
2018,млн.тонна,_L_KZ_090102_1J,Солтүстік Қазақстан,,51.5
2018,млн.тонна,_L_KZ_090102_1J,Түркістан,,71.0
2010,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,,327.1
2011,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,,417.9
2012,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,,476.6
2013,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,,553.3
2014,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,,595.1
2015,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,,598.3
2016,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,,581.9
2017,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,,600.2
2018,млн.тонна,_L_KZ_090102_1J,Шығыс Қазақстан,,627.9
2010,млн.тонна,_L_KZ_090102_1J,Нұр-Сұлтан қаласы,,66.7
2011,млн.тонна,_L_KZ_090102_1J,Нұр-Сұлтан қаласы,,97.2
2012,млн.тонна,_L_KZ_090102_1J,Нұр-Сұлтан қаласы,,112.6
2013,млн.тонна,_L_KZ_090102_1J,Нұр-Сұлтан қаласы,,124.1
2014,млн.тонна,_L_KZ_090102_1J,Нұр-Сұлтан қаласы,,136.7
2015,млн.тонна,_L_KZ_090102_1J,Нұр-Сұлтан қаласы,,142.5
