Year,UNIT_MEASURE,Жынысы,Өңірлер,Value
2018,пайыз,әйелдер,Ақтөбе,100.0
2018,пайыз,ерлер,Алматы,100.0
2018,пайыз,әйелдер,Алматы,100.0
2018,пайыз,ерлер,Атырау,100.0
2018,пайыз,әйелдер,Атырау,100.0
2018,пайыз,ерлер,Батыс Қазақстан,100.0
2018,пайыз,әйелдер,Батыс Қазақстан,100.0
2018,пайыз,ерлер,Жамбыл,100.0
2018,пайыз,әйелдер,Жамбыл,82.15533623490468
2018,пайыз,ерлер,Қарағанды,100.0
2018,пайыз,әйелдер,Қарағанды,100.0
2018,пайыз,ерлер,Қостанай,100.0
2018,пайыз,әйелдер,Қостанай,100.0
2018,пайыз,ерлер,Қызылорда,100.0
2018,пайыз,әйелдер,Қызылорда,100.0
2018,пайыз,ерлер,Маңғыстау,100.0
2018,пайыз,әйелдер,Маңғыстау,100.0
2018,пайыз,ерлер,Түркістан,88.08910636106103
2018,пайыз,әйелдер,Түркістан,92.53446387960804
2018,пайыз,ерлер,Павлодар,100.0
2018,пайыз,әйелдер,Павлодар,100.0
2018,пайыз,ерлер,Солтүстік Қазақстан,100.0
2018,пайыз,әйелдер,Солтүстік Қазақстан,100.0
2018,пайыз,ерлер,Шығыс Қазақстан,100.0
2018,пайыз,әйелдер,Шығыс Қазақстан,100.0
2018,пайыз,ерлер,Нұр-Сұлтан қаласы,67.87322480083131
2018,пайыз,әйелдер,Нұр-Сұлтан қаласы,65.53822521564457
2018,пайыз,ерлер,Алматы қаласы,78.37239759743485
2018,пайыз,әйелдер,Алматы қаласы,82.22153273347813
2018,пайыз,ерлер,Шымкент қаласы,88.21177032350484
2018,пайыз,әйелдер,Шымкент қаласы,90.7781358942314
2019,пайыз,,,98.3
2019,пайыз,ерлер,,98.3
2019,пайыз,әйелдер,,98.7
2019,пайыз,,Ақмола,100.0
2019,пайыз,,Ақтөбе,100.0
2019,пайыз,,Алматы,100.0
2019,пайыз,,Атырау,100.0
2019,пайыз,,Батыс Қазақстан,100.0
2019,пайыз,,Жамбыл,100.0
2019,пайыз,,Қарағанды,100.0
2019,пайыз,,Қостанай,100.0
2019,пайыз,,Қызылорда,100.0
2019,пайыз,,Маңғыстау,100.0
2019,пайыз,,Павлодар,100.0
2019,пайыз,,Солтүстік Қазақстан,100.0
2019,пайыз,,Түркістан,100.0
2019,пайыз,,Шығыс Қазақстан,100.0
2019,пайыз,,Нұр-Сұлтан қаласы,98.6
2019,пайыз,,Алматы қаласы,81.4
2019,пайыз,,Шымкент қаласы,100.0
2019,пайыз,ерлер,Ақмола,100.0
2019,пайыз,әйелдер,Ақмола,100.0
2019,пайыз,ерлер,Ақтөбе,100.0
2019,пайыз,әйелдер,Ақтөбе,100.0
2019,пайыз,ерлер,Алматы,100.0
2019,пайыз,әйелдер,Алматы,100.0
2019,пайыз,ерлер,Атырау,100.0
2019,пайыз,әйелдер,Атырау,100.0
2019,пайыз,ерлер,Батыс Қазақстан,100.0
2019,пайыз,әйелдер,Батыс Қазақстан,100.0
2019,пайыз,ерлер,Жамбыл,100.0
2019,пайыз,әйелдер,Жамбыл,100.0
2019,пайыз,ерлер,Қарағанды,100.0
2019,пайыз,әйелдер,Қарағанды,100.0
2019,пайыз,ерлер,Қостанай,100.0
2019,пайыз,әйелдер,Қостанай,100.0
2019,пайыз,ерлер,Қызылорда,100.0
2019,пайыз,әйелдер,Қызылорда,100.0
2019,пайыз,ерлер,Маңғыстау,100.0
2019,пайыз,әйелдер,Маңғыстау,100.0
2019,пайыз,ерлер,Түркістан,100.0
2019,пайыз,әйелдер,Түркістан,100.0
2019,пайыз,ерлер,Павлодар,100.0
2019,пайыз,әйелдер,Павлодар,100.0
2019,пайыз,ерлер,Солтүстік Қазақстан,100.0
2019,пайыз,әйелдер,Солтүстік Қазақстан,100.0
2019,пайыз,ерлер,Шығыс Қазақстан,100.0
2019,пайыз,әйелдер,Шығыс Қазақстан,100.0
2019,пайыз,ерлер,Нұр-Сұлтан қаласы,97.3
2019,пайыз,әйелдер,Нұр-Сұлтан қаласы,98.5
2019,пайыз,ерлер,Алматы қаласы,79.4
2019,пайыз,әйелдер,Алматы қаласы,83.6
2019,пайыз,ерлер,Шымкент қаласы,100.0
2019,пайыз,әйелдер,Шымкент қаласы,100.0
