Year,Жасы,Аймақ,Өңірлер,Value
2011,10 жастан 14 жасқа дейін,ауыл,Жамбыл,0.0
2011,10 жастан 14 жасқа дейін,ауыл,Қарағанды,0.0890828916306623
2011,10 жастан 14 жасқа дейін,ауыл,Қостанай,0.0
2011,10 жастан 14 жасқа дейін,ауыл,Қызылорда,0.0
2011,10 жастан 14 жасқа дейін,ауыл,Маңғыстау,0.0
2011,10 жастан 14 жасқа дейін,ауыл,Оңтүстік Қазақстан,0.0
2011,10 жастан 14 жасқа дейін,ауыл,Павлодар,0.0
2011,10 жастан 14 жасқа дейін,ауыл,Солтүстік Қазақстан,0.1714310204431492
2011,10 жастан 14 жасқа дейін,ауыл,Шығыс Қазақстан,0.0506701122342986
2011,15-19,,,31.68097401793369
2011,,,Ақмола,32.29680542468082
2011,,,Ақтөбе,26.613500083072783
2011,,,Алматы,35.26154742823838
2011,,,Атырау,49.18951640024213
2011,,,Батыс Қазақстан,29.708314441781635
2011,,,Жамбыл,41.57690415003554
2011,,,Қарағанды,31.144693053142724
2011,,,Қостанай,29.525140135000925
2011,,,Қызылорда,26.377580581221604
2011,,,Маңғыстау,49.60176991150443
2011,,,Оңтүстік Қазақстан,32.65544544156067
2011,,,Павлодар,30.659275953787738
2011,,,Солтүстік Қазақстан,31.558592239267757
2011,,,Шығыс Қазақстан,25.40156892043332
2011,,,Нұр-Сұлтан қаласы,23.458121973053
2011,,,Алматы қаласы,16.570703178129392
2011,,қала,,29.92838451785309
2011,,қала,Ақмола,31.758393907926617
2011,,қала,Ақтөбе,26.221630233226254
2011,,қала,Алматы,38.32709879192984
2011,,қала,Атырау,55.72597137014315
2011,,қала,Батыс Қазақстан,34.83370055608015
2011,,қала,Жамбыл,31.532419268560485
2011,,қала,Қарағанды,32.23099352819856
2011,,қала,Қостанай,28.197608842770133
2011,,қала,Қызылорда,33.40228300007661
2011,,қала,Маңғыстау,44.57772009130377
2011,,қала,Оңтүстік Қазақстан,33.541230502789624
2011,,қала,Павлодар,29.41741972697558
2011,,қала,Солтүстік Қазақстан,29.085763697822497
2011,,қала,Шығыс Қазақстан,25.78957956145645
2011,,қала,Нұр-Сұлтан қаласы,23.458121973053
