Year,UNIT_MEASURE,SERIES,Өңірлер,Value
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қарағанды,221288181.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қарағанды,193907053.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қарағанды,213412694.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қарағанды,265120468.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қостанай,89361565.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қостанай,114601877.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қостанай,126652516.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қостанай,135058484.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қостанай,141177782.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қостанай,133747224.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қостанай,143230986.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қостанай,147902322.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қостанай,175883031.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қызылорда,130762672.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қызылорда,93716685.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қызылорда,143023117.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қызылорда,234719456.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қызылорда,129940156.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қызылорда,158414104.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қызылорда,121290310.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қызылорда,160405376.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Қызылорда,207592214.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,213959933.0
