Year,UNIT_MEASURE,Аймақ,Өңірлер,Value
2014,пайыз,қала,Қарағанды,4.402963425791623
2014,пайыз,қала,Қостанай,17.20615323343456
2014,пайыз,қала,Қызылорда,0.1963712800088505
2014,пайыз,қала,Маңғыстау,0.0
2014,пайыз,қала,Түркістан,0.2547238155082921
2014,пайыз,қала,Павлодар,0.0479607787409407
2014,пайыз,қала,Солтүстік Қазақстан,11.490479317137227
2014,пайыз,қала,Шығыс Қазақстан,7.103182613138954
2014,пайыз,ауыл,,2.783737366296944
2014,пайыз,ауыл,Ақмола,1.487918888669432
2014,пайыз,ауыл,Ақтөбе,0.8809715699080121
2014,пайыз,ауыл,Алматы,6.6827977126395055
2014,пайыз,ауыл,Атырау,1.4328629490318834
2014,пайыз,ауыл,Батыс Қазақстан,1.739091915836102
2014,пайыз,ауыл,Жамбыл,1.7805060028488096
2014,пайыз,ауыл,Қарағанды,3.015975809867899
2014,пайыз,ауыл,Қостанай,5.881427135921742
2014,пайыз,ауыл,Қызылорда,0.1942760382806948
2014,пайыз,ауыл,Маңғыстау,0.0275649435173888
2014,пайыз,ауыл,Түркістан,1.906375138371929
2014,пайыз,ауыл,Павлодар,0.7057196671673461
2014,пайыз,ауыл,Солтүстік Қазақстан,0.6567520840009653
2014,пайыз,ауыл,Шығыс Қазақстан,1.6403470147921602
2015,пайыз,,,3.4012183873910518
2015,пайыз,,Ақмола,4.904479848802701
2015,пайыз,,Ақтөбе,5.827469106228451
2015,пайыз,,Алматы,6.517071583834859
2015,пайыз,,Атырау,1.8187710130838093
2015,пайыз,,Батыс Қазақстан,6.146280737090474
2015,пайыз,,Жамбыл,1.6089690422589304
2015,пайыз,,Қарағанды,4.146979485435793
2015,пайыз,,Қостанай,12.101909086683964
2015,пайыз,,Қызылорда,0.1927671311534241
2015,пайыз,,Маңғыстау,0.0216621411263305
2015,пайыз,,Түркістан,0.8777980027416062
2015,пайыз,,Павлодар,0.2449368380468555
2015,пайыз,,Солтүстік Қазақстан,5.927788523533204
2015,пайыз,,Шығыс Қазақстан,5.177975097812227
2015,пайыз,қала,,3.8022343269907135
2015,пайыз,қала,Ақмола,8.437282699703408
2015,пайыз,қала,Ақтөбе,8.516055948332252
2015,пайыз,қала,Алматы,5.439152026330836
2015,пайыз,қала,Атырау,0.3052387366394035
2015,пайыз,қала,Батыс Қазақстан,9.98082997663896
2015,пайыз,қала,Жамбыл,1.7715411096788691
2015,пайыз,қала,Қарағанды,4.389870112249086
2015,пайыз,қала,Қостанай,17.074833628939427
2015,пайыз,қала,Қызылорда,0.1930965709493914
2015,пайыз,қала,Маңғыстау,0.0
2015,пайыз,қала,Түркістан,0.1563137066069158
2015,пайыз,қала,Павлодар,0.0818873937677053
2015,пайыз,қала,Солтүстік Қазақстан,11.930715998881036
2015,пайыз,қала,Шығыс Қазақстан,7.203356958990091
2015,пайыз,ауыл,,4.752145445199468
2015,пайыз,ауыл,Ақмола,1.4781732036376274
2015,пайыз,ауыл,Ақтөбе,15.678638662286367
2015,пайыз,ауыл,Алматы,1.163887734238359
2015,пайыз,ауыл,Атырау,0.9282299046236264
2015,пайыз,ауыл,Батыс Қазақстан,11.419186038789991
2015,пайыз,ауыл,Жамбыл,1.0607451795293097
2015,пайыз,ауыл,Қарағанды,18.800867883405168
2015,пайыз,ауыл,Қостанай,21.15530581264385
2015,пайыз,ауыл,Қызылорда,0.1595386113399745
2015,пайыз,ауыл,Маңғыстау,0.0
2015,пайыз,ауыл,Түркістан,0.2231180193104905
2015,пайыз,ауыл,Павлодар,0.6901886838065537
2015,пайыз,ауыл,Солтүстік Қазақстан,0.1723015195699742
2015,пайыз,ауыл,Шығыс Қазақстан,11.834296705892562
2016,пайыз,,,3.041477748548792
2016,пайыз,,Ақмола,4.921908821472576
2016,пайыз,,Ақтөбе,5.79742458759472
2016,пайыз,,Алматы,5.481125430641963
2016,пайыз,,Атырау,1.7817728239649444
2016,пайыз,,Батыс Қазақстан,6.167319184009891
2016,пайыз,,Жамбыл,1.6016048801457492
2016,пайыз,,Қарағанды,4.163638298704571
2016,пайыз,,Қостанай,12.1569828359244
2016,пайыз,,Қызылорда,0.1912201472801985
2016,пайыз,,Маңғыстау,0.0103805458684191
2016,пайыз,,Түркістан,0.9666257050454776
2016,пайыз,,Павлодар,0.0458977651694555
2016,пайыз,,Солтүстік Қазақстан,0.2042319466563537
2016,пайыз,,Шығыс Қазақстан,4.87781706393486
2016,пайыз,қала,,3.3102176192357926
2016,пайыз,қала,Ақмола,8.470308331760272
2016,пайыз,қала,Ақтөбе,8.445698236544173
2016,пайыз,қала,Алматы,3.422393750309946
2016,пайыз,қала,Атырау,0.9333138683191792
2016,пайыз,қала,Батыс Қазақстан,9.904541021249798
2016,пайыз,қала,Жамбыл,1.376615720387083
2016,пайыз,қала,Қарағанды,4.265826718331805
2016,пайыз,қала,Қостанай,17.02692649714132
2016,пайыз,қала,Қызылорда,0.1903170610756934
2016,пайыз,қала,Маңғыстау,0.0
2016,пайыз,қала,Түркістан,0.2429571770005331
2016,пайыз,қала,Павлодар,0.001773124311529
2016,пайыз,қала,Солтүстік Қазақстан,0.1942296469215056
2016,пайыз,қала,Шығыс Қазақстан,6.929657539757033
2016,пайыз,ауыл,,2.626450663293304
2016,пайыз,ауыл,Ақмола,1.483874084656742
2016,пайыз,ауыл,Ақтөбе,0.8781366144186153
2016,пайыз,ауыл,Алматы,6.1767909509845
2016,пайыз,ауыл,Атырау,2.618617306508312
2016,пайыз,ауыл,Батыс Қазақстан,1.8392522034561576
2016,пайыз,ауыл,Жамбыл,1.774966353925295
2016,пайыз,ауыл,Қарағанды,3.708299006422027
2016,пайыз,ауыл,Қостанай,6.022032583397983
2016,пайыз,ауыл,Қызылорда,0.1919751403398034
2016,пайыз,ауыл,Маңғыстау,0.0186915887850467
2016,пайыз,ауыл,Түркістан,1.6262897180748364
2016,пайыз,ауыл,Павлодар,0.1678633567770235
2016,пайыз,ауыл,Солтүстік Қазақстан,0.2133373178435498
2016,пайыз,ауыл,Шығыс Қазақстан,1.308274442976619
2017,пайыз,,,2.6269248163889456
