Year,UNIT_MEASURE,Жынысы,Аймақ,Өңірлер,Value
2011,1000 туылғанға,ұлдар және қыздар,қала,Алматы қаласы,19.45
2011,1000 туылғанға,ұлдар және қыздар,ауыл,,18.12
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Ақмола,16.16
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Ақтөбе,16.39
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Алматы,14.79
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Атырау,20.97
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Батыс Қазақстан,16.86
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Жамбыл,17.79
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Қарағанды,17.12
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Қостанай,17.89
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Қызылорда,25.37
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Маңғыстау,20.46
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Оңтүстік Қазақстан,18.12
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Павлодар,18.31
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Солтүстік Қазақстан,15.63
2011,1000 туылғанға,ұлдар және қыздар,ауыл,Шығыс Қазақстан,23.17
2011,1000 туылғанға,ерлер,,,20.04
2011,1000 туылғанға,ерлер,,Ақмола,20.89
2011,1000 туылғанға,ерлер,,Ақтөбе,16.72
2011,1000 туылғанға,ерлер,,Алматы,17.29
2011,1000 туылғанға,ерлер,,Атырау,21.68
2011,1000 туылғанға,ерлер,,Батыс Қазақстан,15.11
2011,1000 туылғанға,ерлер,,Жамбыл,20.35
2011,1000 туылғанға,ерлер,,Қарағанды,16.0
2011,1000 туылғанға,ерлер,,Қостанай,18.69
2011,1000 туылғанға,ерлер,,Қызылорда,26.77
2011,1000 туылғанға,ерлер,,Маңғыстау,21.58
2011,1000 туылғанға,ерлер,,Оңтүстік Қазақстан,22.53
2011,1000 туылғанға,ерлер,,Павлодар,16.26
2011,1000 туылғанға,ерлер,,Солтүстік Қазақстан,18.25
2011,1000 туылғанға,ерлер,,Шығыс Қазақстан,24.62
2011,1000 туылғанға,ерлер,,Нұр-Сұлтан қаласы,13.11
2011,1000 туылғанға,ерлер,,Алматы қаласы,21.45
2011,1000 туылғанға,ерлер,қала,,20.2
2011,1000 туылғанға,ерлер,қала,Ақмола,23.29
2011,1000 туылғанға,ерлер,қала,Ақтөбе,15.78
2011,1000 туылғанға,ерлер,қала,Алматы,18.63
2011,1000 туылғанға,ерлер,қала,Атырау,21.04
2011,1000 туылғанға,ерлер,қала,Батыс Қазақстан,12.2
2011,1000 туылғанға,ерлер,қала,Жамбыл,22.97
2011,1000 туылғанға,ерлер,қала,Қарағанды,15.33
2011,1000 туылғанға,ерлер,қала,Қостанай,16.83
2011,1000 туылғанға,ерлер,қала,Қызылорда,22.65
2011,1000 туылғанға,ерлер,қала,Маңғыстау,22.35
2011,1000 туылғанға,ерлер,қала,Оңтүстік Қазақстан,27.75
2011,1000 туылғанға,ерлер,қала,Павлодар,16.53
2011,1000 туылғанға,ерлер,қала,Солтүстік Қазақстан,18.55
2011,1000 туылғанға,ерлер,қала,Шығыс Қазақстан,22.99
2011,1000 туылғанға,ерлер,қала,Нұр-Сұлтан қаласы,13.11
2011,1000 туылғанға,ерлер,қала,Алматы қаласы,21.45
2011,1000 туылғанға,ерлер,ауыл,,19.85
2011,1000 туылғанға,ерлер,ауыл,Ақмола,18.15
2011,1000 туылғанға,ерлер,ауыл,Ақтөбе,18.43
2011,1000 туылғанға,ерлер,ауыл,Алматы,16.84
2011,1000 туылғанға,ерлер,ауыл,Атырау,22.3
2011,1000 туылғанға,ерлер,ауыл,Батыс Қазақстан,18.62
2011,1000 туылғанға,ерлер,ауыл,Жамбыл,18.69
2011,1000 туылғанға,ерлер,ауыл,Қарағанды,18.48
2011,1000 туылғанға,ерлер,ауыл,Қостанай,20.82
2011,1000 туылғанға,ерлер,ауыл,Қызылорда,30.28
2011,1000 туылғанға,ерлер,ауыл,Маңғыстау,20.84
2011,1000 туылғанға,ерлер,ауыл,Оңтүстік Қазақстан,19.23
2011,1000 туылғанға,ерлер,ауыл,Павлодар,15.73
2011,1000 туылғанға,ерлер,ауыл,Солтүстік Қазақстан,18.01
2011,1000 туылғанға,ерлер,ауыл,Шығыс Қазақстан,26.93
2011,1000 туылғанға,әйелдер,,,15.82
2011,1000 туылғанға,әйелдер,,Ақмола,15.49
