Year,UNIT_MEASURE,SERIES,Жасы,Аймақ,Жынысы,Өңірлер,Value
2010,пайыз,SN_STA_OVWGTN,,,,Қостанай,6.6
2010,пайыз,SN_STA_OVWGTN,,,,Қызылорда,6.8
2010,пайыз,SN_STA_OVWGTN,,,,Маңғыстау,15.7
2010,пайыз,SN_STA_OVWGTN,,,,Оңтүстік Қазақстан,11.1
2010,пайыз,SN_STA_OVWGTN,,,,Павлодар,13.6
2010,пайыз,SN_STA_OVWGTN,,,,Солтүстік Қазақстан,11.6
2010,пайыз,SN_STA_OVWGTN,,,,Шығыс Қазақстан,20.2
2010,пайыз,SN_STA_OVWGTN,,,,Нұр-Сұлтан қаласы,22.1
2010,пайыз,SN_STA_OVWGTN,,,,Алматы қаласы,15.6
2010,пайыз,SN_STA_OVWGTN,M0T5,,,,9.8
2010,пайыз,SN_STA_OVWGTN,M6T11,,,,19.0
2010,пайыз,SN_STA_OVWGTN,M12T23,,,,17.4
2010,пайыз,SN_STA_OVWGTN,M24T35,,,,12.9
2010,пайыз,SN_STA_OVWGTN,36-47 ай,,,,11.6
2010,пайыз,SN_STA_OVWGTN,48-59 ай,,,,9.7
2015,пайыз,қалыпты және қатал ауытқушылық,,,,,3.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,ерлер,,2.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,әйелдер,,3.3
2015,пайыз,қалыпты және қатал ауытқушылық,,қала,,,3.1
2015,пайыз,қалыпты және қатал ауытқушылық,,ауыл,,,3.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Ақмола,1.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Ақтөбе,6.3
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы,4.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Атырау,5.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Батыс Қазақстан,1.5
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Жамбыл,3.2
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қарағанды,1.6
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қостанай,4.2
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қызылорда,2.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Маңғыстау,3.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Оңтүстік Қазақстан,2.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Павлодар,5.5
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Солтүстік Қазақстан,1.6
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Шығыс Қазақстан,1.9
