Year,UNIT_MEASURE,Экономикалық қызмет түрлері,Өңірлер,Value
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шығыс Қазақстан,79.34596121007488
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Жамбыл,9.186065264509818
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Қызылорда,0.0896267032807803
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Солтүстік Қазақстан,0.6617198833222652
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Оңтүстік Қазақстан,35.373144711564045
2016,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы қаласы,6.5780426904686085
2016,пайыз,үлкен ГЭС-ларды қоспағанда,,0.98
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,11.3
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Ақмола,19.3
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы,71.1
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шығыс Қазақстан,75.7
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Жамбыл,10.1
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Қызылорда,0.1
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Солтүстік Қазақстан,0.6
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Оңтүстік Қазақстан,62.5
2017,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы қаласы,6.2
2017,пайыз,үлкен ГЭС-ларды қоспағанда,,1.3
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,10.2
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Ақмола,15.7
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы,64.9
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шығыс Қазақстан,74.3
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Жамбыл,19.0
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Қызылорда,0.1
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Солтүстік Қазақстан,0.7
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Түркістан,95.8
2018,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы қаласы,6.0
2018,пайыз,үлкен ГЭС-ларды қоспағанда,,1.3
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,,10.4
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Ақмола,21.4
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы,65.9
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Атырау,3.4
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шығыс Қазақстан,70.6
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Жамбыл,17.0
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Қарағанды,1.1
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Қызылорда,0.2
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Маңғыстау,0.8
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Павлодар,0.0
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Солтүстік Қазақстан,0.6
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Түркістан,96.6
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Нұр-Сұлтан қаласы,0.0
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Алматы қаласы,5.9
2019,пайыз,ірі гидроэлектрстанцияларын есепке ала отырып,Шымкент қаласы,0.6
2019,пайыз,үлкен ГЭС-ларды қоспағанда,,1.6
