Year,UNIT_MEASURE,SERIES,Регионы,Value
2013,тыс.единиц,выше 10 Мбит/сек,Павлодарская,17.7
2013,тыс.единиц,выше 10 Мбит/сек,Северо-Казахстанская,5.4
2013,тыс.единиц,выше 10 Мбит/сек,Восточно-Казахстанская,17.0
2013,тыс.единиц,выше 10 Мбит/сек,г_Нур-Султан,27.1
2013,тыс.единиц,выше 10 Мбит/сек,г_Алматы,396.5
2014,тыс.единиц,,,2093.2
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,264.2
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,16.4
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,9.8
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Алматинская,12.4
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Атырауская,7.1
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Западно-Казахстанская,10.2
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Жымбылская,12.9
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Карагандинская,15.6
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Костанайская,15.6
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Кызылординская,11.7
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Мангистауская,5.3
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Южно-Казахстанская,13.2
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Павлодарская,15.6
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Северо-Казахстанская,22.4
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Восточно-Казахстанская,12.8
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Нур-Султан,40.5
2014,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Алматы,42.6
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,,881.4
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Акмолинская,52.3
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Актюбинская,45.8
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Алматинская,76.9
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Атырауская,44.7
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Западно-Казахстанская,21.5
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Жымбылская,30.1
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Карагандинская,86.9
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Костанайская,64.5
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Кызылординская,20.9
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Мангистауская,26.8
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Южно-Казахстанская,47.9
