Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Возраст,Регионы,Value
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,г_Нур-Султан,51.52470613455286
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,г_Нур-Султан,50.11254421379828
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,г_Нур-Султан,19.527314302047238
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,г_Алматы,58.2647278858238
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,г_Алматы,14.387030618252425
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,г_Алматы,42.261610021794986
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,г_Алматы,22.06011361465372
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,г_Алматы,4.796066765179487
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,г_Алматы,6.11468295897162
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,г_Алматы,12.10927904991013
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,г_Алматы,5.755202139729649
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,г_Алматы,2.0383576171334328
2015,процент,Копирование или перенос файла или папки,в возрасте 15-24 лет,г_Шымкент,20.793399786609644
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15-24 лет,г_Шымкент,7.186347715501623
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15-24 лет,г_Шымкент,31.619929948207144
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15-24 лет,г_Шымкент,24.844230673591326
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15-24 лет,г_Шымкент,8.007644597273238
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15-24 лет,г_Шымкент,15.809964974103572
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15-24 лет,г_Шымкент,18.06853139897551
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15-24 лет,г_Шымкент,10.882183683473889
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15-24 лет,г_Шымкент,2.669214865757746
2015,процент,Копирование или перенос файла или папки,в возрасте 15 лет и старше,,25.313156102543765
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15 лет и старше,,17.799810171106323
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15 лет и старше,,46.157484718836415
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15 лет и старше,,34.13156398713004
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15 лет и старше,,11.163039450833647
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15 лет и старше,,11.945806952837854
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15 лет и старше,,16.716882940355724
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15 лет и старше,,18.158221712603297
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15 лет и старше,,3.035041029571563
2015,процент,Копирование или перенос файла или папки,в возрасте 15 лет и старше,Акмолинская,33.55498730192671
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15 лет и старше,Акмолинская,12.439204359233663
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15 лет и старше,Акмолинская,36.77498733698005
2015,процент,Работа в редакторе электронных таблиц Excel (использование базовых арифметических формул в таблицах),в возрасте 15 лет и старше,Акмолинская,44.62080170499458
2015,процент,"Подключение и установка новых устройств (принтер, модем и другие)",в возрасте 15 лет и старше,Акмолинская,20.12342281867432
2015,процент,"Поиск, загрузка и установка  программного обеспечения",в возрасте 15 лет и старше,Акмолинская,12.41904868733996
2015,процент,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",в возрасте 15 лет и старше,Акмолинская,21.801952120639584
2015,процент,Передача файлов между компьютерами и другими устройствами,в возрасте 15 лет и старше,Акмолинская,20.452398437322
2015,процент,Разработка компьютерных программ с использованием специального программного языка,в возрасте 15 лет и старше,Акмолинская,2.41009255835067
2015,процент,Копирование или перенос файла или папки,в возрасте 15 лет и старше,Актюбинская,26.028413025009943
2015,процент,Использование инструментов копирования и вставки информации или части информации для получения копий или перемещения информации в документе,в возрасте 15 лет и старше,Актюбинская,12.700088555401145
2015,процент,"Отправка элекронной почты с вложенными файлами (документ, фотография, видео)",в возрасте 15 лет и старше,Актюбинская,45.45396510491605
