Year,UNIT_MEASURE,SERIES,Регионы,GeoCode,Value
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Кызылординская,,397.4
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Мангистауская,,60.2
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Мангистауская,,73.8
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Мангистауская,,81.5
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Мангистауская,,85.5
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Мангистауская,,85.5
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Мангистауская,,85.3
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Мангистауская,,84.8
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Мангистауская,,88.8
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Мангистауская,,89.3
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Южно-Казахстанская,,1337.6
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Южно-Казахстанская,,1800.5
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Южно-Казахстанская,,2149.9
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Южно-Казахстанская,,2257.6
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Южно-Казахстанская,,2262.5
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Южно-Казахстанская,,2347.4
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Южно-Казахстанская,,2478.5
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Южно-Казахстанская,,2607.6
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Павлодарская,,798.3
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Павлодарская,,1044.1
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Павлодарская,,1166.3
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Павлодарская,,1194.6
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Павлодарская,,1195.6
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Павлодарская,,1240.8
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Павлодарская,,1244.5
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Павлодарская,,1225.0
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Павлодарская,,1234.0
