Year,UNIT_MEASURE,URBANISATION,REF_AREA,Value
2017,PT,U,,90.0
2017,PT,R,,55.0
2017,PT,U,KZAKM,86.0
2017,PT,R,KZAKM,58.1
2017,PT,U,KZAKT,100.0
2017,PT,R,KZAKT,46.9
2017,PT,U,KZALM,96.9
2017,PT,R,KZALM,87.1
2017,PT,U,KZATY,100.0
2017,PT,R,KZATY,78.0
2017,PT,U,KZZAP,90.4
2017,PT,R,KZZAP,40.4
2017,PT,U,KZZHA,84.8
2017,PT,R,KZZHA,62.2
2017,PT,U,KZKAR,86.6
2017,PT,R,KZKAR,55.1
2017,PT,U,KZKUS,97.6
2017,PT,R,KZKUS,30.8
2017,PT,U,KZKZY,98.3
2017,PT,R,KZKZY,75.0
2017,PT,U,KZMAN,99.8
2017,PT,R,KZMAN,63.9
2017,PT,U,KZONT,93.4
2017,PT,R,KZONT,73.6
2017,PT,U,KZPAV,90.0
2017,PT,R,KZPAV,23.8
2017,PT,U,KZSEV,100.0
2017,PT,R,KZSEV,57.5
2017,PT,U,KZVOS,97.3
2017,PT,R,KZVOS,47.8
2017,PT,,KZNS,94.5
2017,PT,,KZALA,95.0
2018,PT,U,,94.5
2018,PT,R,,56.9
2018,PT,U,KZAKM,86.0
2018,PT,R,KZAKM,59.4
2018,PT,U,KZAKT,98.5
2018,PT,R,KZAKT,54.8
2018,PT,U,KZALM,96.8
2018,PT,R,KZALM,89.5
2018,PT,U,KZATY,100.0
2018,PT,R,KZATY,79.32
2018,PT,U,KZZAP,94.8
2018,PT,R,KZZAP,46.3
2018,PT,U,KZZHA,88.0
2018,PT,R,KZZHA,53.4
2018,PT,U,KZKAR,92.0
2018,PT,R,KZKAR,55.3
2018,PT,U,KZKUS,97.6
2018,PT,R,KZKUS,31.4
2018,PT,U,KZKZY,93.0
2018,PT,R,KZKZY,76.5
2018,PT,U,KZMAN,100.0
2018,PT,R,KZMAN,69.0
2018,PT,U,KZPAV,92.0
2018,PT,R,KZPAV,29.7
2018,PT,U,KZSEV,100.0
2018,PT,R,KZSEV,59.6
2018,PT,U,KZYUZ,96.3
2018,PT,R,KZYUZ,75.5
2018,PT,U,KZVOS,97.8
2018,PT,R,KZVOS,53.7
2018,PT,,KZNS,95.0
2018,PT,,KZALA,97.5
2018,PT,,KZSHY,93.0
2019,PT,U,,97.2
2019,PT,R,,86.4
2019,PT,U,KZAKM,97.8
2019,PT,R,KZAKM,78.1
2019,PT,U,KZAKT,99.2
2019,PT,R,KZAKT,85.7
2019,PT,U,KZALM,96.8
2019,PT,R,KZALM,98.8
2019,PT,U,KZATY,100.0
2019,PT,R,KZATY,98.4
2019,PT,U,KZZAP,95.9
2019,PT,R,KZZAP,86.5
2019,PT,U,KZZHA,88.0
2019,PT,R,KZZHA,72.6
2019,PT,U,KZKAR,97.0
2019,PT,R,KZKAR,89.5
2019,PT,U,KZKUS,97.9
2019,PT,R,KZKUS,61.1
2019,PT,U,KZKZY,98.2
2019,PT,R,KZKZY,97.2
2019,PT,U,KZMAN,100.0
2019,PT,R,KZMAN,75.4
2019,PT,U,KZPAV,93.0
2019,PT,R,KZPAV,73.3
2019,PT,U,KZSEV,100.0
2019,PT,R,KZSEV,81.7
2019,PT,U,KZYUZ,97.9
2019,PT,R,KZYUZ,91.0
2019,PT,U,KZVOS,98.2
2019,PT,R,KZVOS,78.0
2019,PT,,KZNS,99.9
2019,PT,,KZALA,97.7
2019,PT,,KZSHY,94.7
