Year,UNIT_MEASURE,SERIES,REF_AREA,GeoCode,Value
2010,PER_1000000_POP,_L_KZ_090102_1N,KZKZY,,139.7
2011,PER_1000000_POP,_L_KZ_090102_1N,KZKZY,,193.2
2012,PER_1000000_POP,_L_KZ_090102_1N,KZKZY,,232.4
2013,PER_1000000_POP,_L_KZ_090102_1N,KZKZY,,251.3
2014,PER_1000000_POP,_L_KZ_090102_1N,KZKZY,,282.1
2015,PER_1000000_POP,_L_KZ_090102_1N,KZKZY,,298.1
2016,PER_1000000_POP,_L_KZ_090102_1N,KZKZY,,335.5
2017,PER_1000000_POP,_L_KZ_090102_1N,KZKZY,,367.5
2018,PER_1000000_POP,_L_KZ_090102_1N,KZKZY,,397.4
2010,PER_1000000_POP,_L_KZ_090102_1N,KZMAN,,60.2
2011,PER_1000000_POP,_L_KZ_090102_1N,KZMAN,,73.8
2012,PER_1000000_POP,_L_KZ_090102_1N,KZMAN,,81.5
2013,PER_1000000_POP,_L_KZ_090102_1N,KZMAN,,85.5
2014,PER_1000000_POP,_L_KZ_090102_1N,KZMAN,,85.5
2015,PER_1000000_POP,_L_KZ_090102_1N,KZMAN,,85.3
2016,PER_1000000_POP,_L_KZ_090102_1N,KZMAN,,84.8
2017,PER_1000000_POP,_L_KZ_090102_1N,KZMAN,,88.8
2018,PER_1000000_POP,_L_KZ_090102_1N,KZMAN,,89.3
2010,PER_1000000_POP,_L_KZ_090102_1N,KZONT,,1337.6
2011,PER_1000000_POP,_L_KZ_090102_1N,KZONT,,1800.5
2012,PER_1000000_POP,_L_KZ_090102_1N,KZONT,,2149.9
2013,PER_1000000_POP,_L_KZ_090102_1N,KZONT,,2257.6
2014,PER_1000000_POP,_L_KZ_090102_1N,KZONT,,2262.5
2015,PER_1000000_POP,_L_KZ_090102_1N,KZONT,,2347.4
2016,PER_1000000_POP,_L_KZ_090102_1N,KZONT,,2478.5
2017,PER_1000000_POP,_L_KZ_090102_1N,KZONT,,2607.6
2010,PER_1000000_POP,_L_KZ_090102_1N,KZPAV,,798.3
2011,PER_1000000_POP,_L_KZ_090102_1N,KZPAV,,1044.1
2012,PER_1000000_POP,_L_KZ_090102_1N,KZPAV,,1166.3
2013,PER_1000000_POP,_L_KZ_090102_1N,KZPAV,,1194.6
2014,PER_1000000_POP,_L_KZ_090102_1N,KZPAV,,1195.6
2015,PER_1000000_POP,_L_KZ_090102_1N,KZPAV,,1240.8
2016,PER_1000000_POP,_L_KZ_090102_1N,KZPAV,,1244.5
2017,PER_1000000_POP,_L_KZ_090102_1N,KZPAV,,1225.0
2018,PER_1000000_POP,_L_KZ_090102_1N,KZPAV,,1234.0
2010,PER_1000000_POP,_L_KZ_090102_1N,KZSEV,,365.5
2011,PER_1000000_POP,_L_KZ_090102_1N,KZSEV,,453.9
2012,PER_1000000_POP,_L_KZ_090102_1N,KZSEV,,470.7
2013,PER_1000000_POP,_L_KZ_090102_1N,KZSEV,,492.8
2014,PER_1000000_POP,_L_KZ_090102_1N,KZSEV,,496.1
2015,PER_1000000_POP,_L_KZ_090102_1N,KZSEV,,495.2
2016,PER_1000000_POP,_L_KZ_090102_1N,KZSEV,,506.8
2017,PER_1000000_POP,_L_KZ_090102_1N,KZSEV,,501.6
2018,PER_1000000_POP,_L_KZ_090102_1N,KZSEV,,507.4
2018,PER_1000000_POP,_L_KZ_090102_1N,KZYUZ,,820.6
2010,PER_1000000_POP,_L_KZ_090102_1N,KZVOS,,1272.7
2011,PER_1000000_POP,_L_KZ_090102_1N,KZVOS,,1419.3
2012,PER_1000000_POP,_L_KZ_090102_1N,KZVOS,,1459.9
2013,PER_1000000_POP,_L_KZ_090102_1N,KZVOS,,1606.7
2014,PER_1000000_POP,_L_KZ_090102_1N,KZVOS,,1654.2
2015,PER_1000000_POP,_L_KZ_090102_1N,KZVOS,,1681.0
2016,PER_1000000_POP,_L_KZ_090102_1N,KZVOS,,1705.2
2017,PER_1000000_POP,_L_KZ_090102_1N,KZVOS,,1709.2
2018,PER_1000000_POP,_L_KZ_090102_1N,KZVOS,,1714.9
2010,PER_1000000_POP,_L_KZ_090102_1N,KZNS,,1408.9
2011,PER_1000000_POP,_L_KZ_090102_1N,KZNS,,1647.9
2012,PER_1000000_POP,_L_KZ_090102_1N,KZNS,,1750.1
2013,PER_1000000_POP,_L_KZ_090102_1N,KZNS,,1961.0
2014,PER_1000000_POP,_L_KZ_090102_1N,KZNS,,2180.3
2015,PER_1000000_POP,_L_KZ_090102_1N,KZNS,,2279.0
2016,PER_1000000_POP,_L_KZ_090102_1N,KZNS,,2441.1
2018,PER_1000000_POP,_L_KZ_090102_1N,KZNS,,2558.0
2010,PER_1000000_POP,_L_KZ_090102_1N,KZALA,,2595.5
2011,PER_1000000_POP,_L_KZ_090102_1N,KZALA,,3190.6
2012,PER_1000000_POP,_L_KZ_090102_1N,KZALA,,3802.8
2013,PER_1000000_POP,_L_KZ_090102_1N,KZALA,,4238.8
2014,PER_1000000_POP,_L_KZ_090102_1N,KZALA,,4808.6
2015,PER_1000000_POP,_L_KZ_090102_1N,KZALA,,4984.8
2016,PER_1000000_POP,_L_KZ_090102_1N,KZALA,,4984.2
2017,PER_1000000_POP,_L_KZ_090102_1N,KZALA,,5097.2
2018,PER_1000000_POP,_L_KZ_090102_1N,KZALA,,5202.4
2018,PER_1000000_POP,_L_KZ_090102_1N,KZSHY,,1808.6
2010,M_T,_L_KZ_090102_1J,,,1971.8
2011,M_T,_L_KZ_090102_1J,,,2475.5
2012,M_T,_L_KZ_090102_1J,,,2718.4
2013,M_T,_L_KZ_090102_1J,,,2983.4
2014,M_T,_L_KZ_090102_1J,,,3129.1
2015,M_T,_L_KZ_090102_1J,,,3174.0
2016,M_T,_L_KZ_090102_1J,,,3180.7
2017,M_T,_L_KZ_090102_1J,,,3322.3
2018,M_T,_L_KZ_090102_1J,,,3422.3
2010,M_T,_L_KZ_090102_1J,KZAKM,,95.8
2011,M_T,_L_KZ_090102_1J,KZAKM,,112.4
2012,M_T,_L_KZ_090102_1J,KZAKM,,112.6
2013,M_T,_L_KZ_090102_1J,KZAKM,,121.5
2014,M_T,_L_KZ_090102_1J,KZAKM,,121.3
2015,M_T,_L_KZ_090102_1J,KZAKM,,120.3
2016,M_T,_L_KZ_090102_1J,KZAKM,,113.1
2017,M_T,_L_KZ_090102_1J,KZAKM,,116.1
2018,M_T,_L_KZ_090102_1J,KZAKM,,126.5
2010,M_T,_L_KZ_090102_1J,KZAKT,,41.0
2011,M_T,_L_KZ_090102_1J,KZAKT,,54.5
2012,M_T,_L_KZ_090102_1J,KZAKT,,58.1
2013,M_T,_L_KZ_090102_1J,KZAKT,,62.2
2014,M_T,_L_KZ_090102_1J,KZAKT,,63.6
2015,M_T,_L_KZ_090102_1J,KZAKT,,70.1
2016,M_T,_L_KZ_090102_1J,KZAKT,,76.3
2017,M_T,_L_KZ_090102_1J,KZAKT,,76.8
2018,M_T,_L_KZ_090102_1J,KZAKT,,79.1
