Year,UNIT_MEASURE,REF_AREA,SEX,URBANISATION,AGE,Value
2014,PT,KZKUS,,,Y16T24,17.5
2014,PT,KZKUS,,,M25T28,11.6
2014,PT,KZKUS,,,M29T34,10.6
2014,PT,KZKUS,,,Y35T44,8.2
2014,PT,KZKUS,,,Y45T54,8.4
2014,PT,KZKUS,,,Y55T64,13.3
2014,PT,KZKUS,,,Y_GE65,26.2
2014,PT,KZKZY,,,Y16T24,15.1
2014,PT,KZKZY,,,M25T28,8.0
2014,PT,KZKZY,,,M29T34,9.7
2014,PT,KZKZY,,,Y35T44,9.5
2014,PT,KZKZY,,,Y45T54,8.6
2014,PT,KZKZY,,,Y55T64,7.4
2014,PT,KZKZY,,,Y_GE65,15.6
2014,PT,KZMAN,,,Y16T24,3.2
2014,PT,KZMAN,,,M25T28,2.0
2014,PT,KZMAN,,,M29T34,2.0
2014,PT,KZMAN,,,Y35T44,2.5
2014,PT,KZMAN,,,Y45T54,2.5
2014,PT,KZMAN,,,Y55T64,2.3
2014,PT,KZONT,,,Y16T24,8.6
2014,PT,KZONT,,,M25T28,9.1
2014,PT,KZONT,,,M29T34,10.9
2014,PT,KZONT,,,Y35T44,7.4
2014,PT,KZONT,,,Y45T54,8.3
2014,PT,KZONT,,,Y55T64,6.7
2014,PT,KZPAV,,,Y15,89.6
2014,PT,KZPAV,,,Y16T24,12.1
2014,PT,KZPAV,,,M25T28,3.6
2014,PT,KZPAV,,,M29T34,5.2
2014,PT,KZPAV,,,Y35T44,3.4
2014,PT,KZPAV,,,Y45T54,5.3
2014,PT,KZPAV,,,Y55T64,12.7
2014,PT,KZPAV,,,Y_GE65,40.8
2014,PT,KZSEV,,,Y15,100.0
2014,PT,KZSEV,,,Y16T24,10.6
2014,PT,KZSEV,,,M25T28,5.5
2014,PT,KZSEV,,,M29T34,4.9
2014,PT,KZSEV,,,Y35T44,5.4
2014,PT,KZSEV,,,Y45T54,5.5
2014,PT,KZSEV,,,Y55T64,13.7
2014,PT,KZSEV,,,Y_GE65,49.9
2014,PT,KZVOS,,,Y15,76.0
2014,PT,KZVOS,,,Y16T24,18.7
2014,PT,KZVOS,,,M25T28,9.6
2014,PT,KZVOS,,,M29T34,10.2
2014,PT,KZVOS,,,Y35T44,9.6
2014,PT,KZVOS,,,Y45T54,12.4
2014,PT,KZVOS,,,Y55T64,13.3
2014,PT,KZVOS,,,Y_GE65,25.0
2014,PT,KZNS,,,M25T28,0.3
2014,PT,KZNS,,,M29T34,0.2
2014,PT,KZNS,,,Y35T44,0.2
2014,PT,KZNS,,,Y45T54,0.5
2014,PT,KZALA,,,Y16T24,1.0
2014,PT,KZALA,,,M25T28,1.1
2014,PT,KZALA,,,M29T34,1.1
2014,PT,KZALA,,,Y35T44,1.1
2014,PT,KZALA,,,Y45T54,1.6
2014,PT,KZALA,,,Y55T64,1.8
2014,PT,KZALA,,,Y_GE65,5.1
2015,PT,,,,,3.9
2015,PT,KZAKM,,,,4.5
2015,PT,KZAKT,,,,3.1
2015,PT,KZALM,,,,6.0
2015,PT,KZATY,,,,1.2
2015,PT,KZZAP,,,,4.2
2015,PT,KZZHA,,,,12.8
2015,PT,KZKAR,,,,2.9
2015,PT,KZKUS,,,,3.5
2015,PT,KZKZY,,,,12.6
2015,PT,KZMAN,,,,2.1
2015,PT,KZONT,,,,1.9
2015,PT,KZPAV,,,,1.7
2015,PT,KZSEV,,,,2.3
2015,PT,KZVOS,,,,5.3
2015,PT,KZNS,,,,0.6
2015,PT,KZALA,,,,1.0
2015,PT,,M,,,4.4
2015,PT,KZAKM,M,,,3.6
2015,PT,KZAKT,M,,,3.1
2015,PT,KZALM,M,,,6.3
2015,PT,KZATY,M,,,1.4
2015,PT,KZZAP,M,,,5.1
2015,PT,KZZHA,M,,,13.4
2015,PT,KZKAR,M,,,3.3
2015,PT,KZKUS,M,,,3.2
2015,PT,KZKZY,M,,,15.5
2015,PT,KZMAN,M,,,2.5
2015,PT,KZONT,M,,,2.4
2015,PT,KZPAV,M,,,1.8
2015,PT,KZSEV,M,,,2.7
2015,PT,KZVOS,M,,,6.2
2015,PT,KZNS,M,,,0.9
2015,PT,KZALA,M,,,1.2
2015,PT,,F,,,3.4
2015,PT,KZAKM,F,,,5.5
2015,PT,KZAKT,F,,,3.2
2015,PT,KZALM,F,,,5.6
2015,PT,KZATY,F,,,1.0
2015,PT,KZZAP,F,,,3.3
2015,PT,KZZHA,F,,,12.0
2015,PT,KZKAR,F,,,2.4
2015,PT,KZKUS,F,,,3.9
2015,PT,KZKZY,F,,,9.2
2015,PT,KZMAN,F,,,1.6
2015,PT,KZONT,F,,,1.2
2015,PT,KZPAV,F,,,1.6
