Year,UNIT_MEASURE,SEX,REF_AREA,URBANISATION,Value
2011,PER_1000_LIVE_BIRTHS,_T,KZAKM,U,11.19177253478524
2011,PER_1000_LIVE_BIRTHS,_T,KZAKT,U,6.88924218335983
2011,PER_1000_LIVE_BIRTHS,_T,KZALM,U,10.24101703893352
2011,PER_1000_LIVE_BIRTHS,_T,KZATY,U,11.31928181108509
2011,PER_1000_LIVE_BIRTHS,_T,KZZAP,U,7.763975155279503
2011,PER_1000_LIVE_BIRTHS,_T,KZZHA,U,12.126111560226354
2011,PER_1000_LIVE_BIRTHS,_T,KZKAR,U,6.494866959983239
2011,PER_1000_LIVE_BIRTHS,_T,KZKUS,U,8.796779484121068
2011,PER_1000_LIVE_BIRTHS,_T,KZKZY,U,12.01558778956484
2011,PER_1000_LIVE_BIRTHS,_T,KZMAN,U,14.065050860228558
2011,PER_1000_LIVE_BIRTHS,_T,KZONT,U,15.28765352294764
2011,PER_1000_LIVE_BIRTHS,_T,KZPAV,U,8.08967987981047
2011,PER_1000_LIVE_BIRTHS,_T,KZSEV,U,6.307490144546649
2011,PER_1000_LIVE_BIRTHS,_T,KZVOS,U,13.366188769414576
2011,PER_1000_LIVE_BIRTHS,_T,KZNS,U,7.052896725440806
2011,PER_1000_LIVE_BIRTHS,_T,KZALA,U,13.971025997221671
2011,PER_1000_LIVE_BIRTHS,_T,,R,8.447410449463838
2011,PER_1000_LIVE_BIRTHS,_T,KZAKM,R,8.741547088899885
2011,PER_1000_LIVE_BIRTHS,_T,KZAKT,R,7.732755954222085
2011,PER_1000_LIVE_BIRTHS,_T,KZALM,R,7.078265391615867
2011,PER_1000_LIVE_BIRTHS,_T,KZATY,R,12.18872870249017
2011,PER_1000_LIVE_BIRTHS,_T,KZZAP,R,10.080645161290322
2011,PER_1000_LIVE_BIRTHS,_T,KZZHA,R,7.93201133144476
2011,PER_1000_LIVE_BIRTHS,_T,KZKAR,R,6.924408540103866
2011,PER_1000_LIVE_BIRTHS,_T,KZKUS,R,6.625807520291535
2011,PER_1000_LIVE_BIRTHS,_T,KZKZY,R,11.671721349140704
2011,PER_1000_LIVE_BIRTHS,_T,KZMAN,R,11.216566005176878
2011,PER_1000_LIVE_BIRTHS,_T,KZONT,R,7.002801120448179
2011,PER_1000_LIVE_BIRTHS,_T,KZPAV,R,10.331063629960084
2011,PER_1000_LIVE_BIRTHS,_T,KZSEV,R,7.610037021801728
2011,PER_1000_LIVE_BIRTHS,_T,KZVOS,R,13.628262920641577
2011,PER_1000_LIVE_BIRTHS,M,,,11.120370852648575
2011,PER_1000_LIVE_BIRTHS,M,KZAKM,,10.74780502573418
2011,PER_1000_LIVE_BIRTHS,M,KZAKT,,9.18032786885246
2011,PER_1000_LIVE_BIRTHS,M,KZALM,,9.279267827634422
2011,PER_1000_LIVE_BIRTHS,M,KZATY,,13.309671694764862
2011,PER_1000_LIVE_BIRTHS,M,KZZAP,,9.751340809361286
2011,PER_1000_LIVE_BIRTHS,M,KZZHA,,10.375261065822274
2011,PER_1000_LIVE_BIRTHS,M,KZKAR,,7.678008567041138
2011,PER_1000_LIVE_BIRTHS,M,KZKUS,,8.805808744013596
2011,PER_1000_LIVE_BIRTHS,M,KZKZY,,13.771186440677964
2011,PER_1000_LIVE_BIRTHS,M,KZMAN,,13.306161591944376
2011,PER_1000_LIVE_BIRTHS,M,KZONT,,11.72991862368955
2011,PER_1000_LIVE_BIRTHS,M,KZPAV,,9.486523113988858
2011,PER_1000_LIVE_BIRTHS,M,KZSEV,,8.678237650200266
2011,PER_1000_LIVE_BIRTHS,M,KZVOS,,15.737372028090364
2011,PER_1000_LIVE_BIRTHS,M,KZNS,,7.539335664335664
2011,PER_1000_LIVE_BIRTHS,M,KZALA,,15.134230739980229
2011,PER_1000_LIVE_BIRTHS,M,,U,12.40099836880687
2011,PER_1000_LIVE_BIRTHS,M,KZAKM,U,11.928429423459244
2011,PER_1000_LIVE_BIRTHS,M,KZAKT,U,8.651399491094146
2011,PER_1000_LIVE_BIRTHS,M,KZALM,U,12.307692307692308
2011,PER_1000_LIVE_BIRTHS,M,KZATY,U,13.853258081067214
2011,PER_1000_LIVE_BIRTHS,M,KZZAP,U,8.035714285714285
2011,PER_1000_LIVE_BIRTHS,M,KZZHA,U,13.574660633484164
2011,PER_1000_LIVE_BIRTHS,M,KZKAR,U,7.714462044846739
2011,PER_1000_LIVE_BIRTHS,M,KZKUS,U,10.733971569480708
2011,PER_1000_LIVE_BIRTHS,M,KZKZY,U,13.000629062696582
2011,PER_1000_LIVE_BIRTHS,M,KZMAN,U,14.489194499017682
2011,PER_1000_LIVE_BIRTHS,M,KZONT,U,17.279434949864413
2011,PER_1000_LIVE_BIRTHS,M,KZPAV,U,9.73731884057971
2011,PER_1000_LIVE_BIRTHS,M,KZSEV,U,7.518796992481203
2011,PER_1000_LIVE_BIRTHS,M,KZVOS,U,15.17999132571924
2011,PER_1000_LIVE_BIRTHS,M,KZNS,U,7.539335664335664
2011,PER_1000_LIVE_BIRTHS,M,KZALA,U,15.134230739980229
2011,PER_1000_LIVE_BIRTHS,M,,R,9.675917715907076
2011,PER_1000_LIVE_BIRTHS,M,KZAKM,R,9.40032414910859
2011,PER_1000_LIVE_BIRTHS,M,KZAKT,R,10.138248847926269
2011,PER_1000_LIVE_BIRTHS,M,KZALM,R,8.281223593037012
2011,PER_1000_LIVE_BIRTHS,M,KZATY,R,12.778752192432975
2011,PER_1000_LIVE_BIRTHS,M,KZZAP,R,11.815252416756175
2011,PER_1000_LIVE_BIRTHS,M,KZZHA,R,8.354402550291304
2011,PER_1000_LIVE_BIRTHS,M,KZKAR,R,7.544322897019992
2011,PER_1000_LIVE_BIRTHS,M,KZKUS,R,6.609385327164574
2011,PER_1000_LIVE_BIRTHS,M,KZKZY,R,14.425645592163846
2011,PER_1000_LIVE_BIRTHS,M,KZMAN,R,12.177985948477753
2011,PER_1000_LIVE_BIRTHS,M,KZONT,R,8.218959463772743
2011,PER_1000_LIVE_BIRTHS,M,KZPAV,R,8.98876404494382
2011,PER_1000_LIVE_BIRTHS,M,KZSEV,R,9.603841536614643
2011,PER_1000_LIVE_BIRTHS,M,KZVOS,R,16.523867809057528
2011,PER_1000_LIVE_BIRTHS,F,,,8.389596015495297
2011,PER_1000_LIVE_BIRTHS,F,KZAKM,,9.22722029988466
2011,PER_1000_LIVE_BIRTHS,F,KZAKT,,5.093771706413522
2011,PER_1000_LIVE_BIRTHS,F,KZALM,,6.356596087559873
2011,PER_1000_LIVE_BIRTHS,F,KZATY,,10.098290022889458
2011,PER_1000_LIVE_BIRTHS,F,KZZAP,,7.835625979453249
2011,PER_1000_LIVE_BIRTHS,F,KZZHA,,8.680057388809182
2011,PER_1000_LIVE_BIRTHS,F,KZKAR,,5.453935224030878
2011,PER_1000_LIVE_BIRTHS,F,KZKUS,,6.697496412055494
2011,PER_1000_LIVE_BIRTHS,F,KZKZY,,9.758602978941962
2011,PER_1000_LIVE_BIRTHS,F,KZMAN,,11.895526247737266
2011,PER_1000_LIVE_BIRTHS,F,KZONT,,8.633429260325116
2011,PER_1000_LIVE_BIRTHS,F,KZPAV,,8.132674214638813
2011,PER_1000_LIVE_BIRTHS,F,KZSEV,,5.271986580397795
2011,PER_1000_LIVE_BIRTHS,F,KZVOS,,11.069114470842331
2011,PER_1000_LIVE_BIRTHS,F,KZNS,,6.541948812119821
2011,PER_1000_LIVE_BIRTHS,F,KZALA,,12.701311638718249
2011,PER_1000_LIVE_BIRTHS,F,,U,9.497510564411533
2011,PER_1000_LIVE_BIRTHS,F,KZAKM,U,10.35263668715626
2011,PER_1000_LIVE_BIRTHS,F,KZAKT,U,4.975124378109452
2011,PER_1000_LIVE_BIRTHS,F,KZALM,U,8.033595033777615
2011,PER_1000_LIVE_BIRTHS,F,KZATY,U,8.711721224920803
2011,PER_1000_LIVE_BIRTHS,F,KZZAP,U,7.467532467532467
2011,PER_1000_LIVE_BIRTHS,F,KZZHA,U,10.581028401707815
2011,PER_1000_LIVE_BIRTHS,F,KZKAR,U,5.229455709711846
2011,PER_1000_LIVE_BIRTHS,F,KZKUS,U,6.748466257668712
2011,PER_1000_LIVE_BIRTHS,F,KZKZY,U,10.964421570821214
2011,PER_1000_LIVE_BIRTHS,F,KZMAN,U,13.621177075301976
2011,PER_1000_LIVE_BIRTHS,F,KZONT,U,13.19366173838096
2011,PER_1000_LIVE_BIRTHS,F,KZPAV,U,6.372433325466131
2011,PER_1000_LIVE_BIRTHS,F,KZSEV,U,4.972375690607734
2011,PER_1000_LIVE_BIRTHS,F,KZVOS,U,11.428571428571429
2011,PER_1000_LIVE_BIRTHS,F,KZNS,U,6.541948812119821
2011,PER_1000_LIVE_BIRTHS,F,KZALA,U,12.701311638718249
2011,PER_1000_LIVE_BIRTHS,F,,R,7.14487167434427
2011,PER_1000_LIVE_BIRTHS,F,KZAKM,R,8.059100067159166
2011,PER_1000_LIVE_BIRTHS,F,KZAKT,R,5.294300840859545
2011,PER_1000_LIVE_BIRTHS,F,KZALM,R,5.811884711184913
2011,PER_1000_LIVE_BIRTHS,F,KZATY,R,11.541632316570489
2011,PER_1000_LIVE_BIRTHS,F,KZZAP,R,8.261359369132558
2011,PER_1000_LIVE_BIRTHS,F,KZZHA,R,7.482754589033087
2011,PER_1000_LIVE_BIRTHS,F,KZKAR,R,6.279434850863423
2011,PER_1000_LIVE_BIRTHS,F,KZKUS,R,6.642311524410495
2011,PER_1000_LIVE_BIRTHS,F,KZKZY,R,8.735282947208509
2011,PER_1000_LIVE_BIRTHS,F,KZMAN,R,10.14832162373146
2011,PER_1000_LIVE_BIRTHS,F,KZONT,R,5.705040871934605
2011,PER_1000_LIVE_BIRTHS,F,KZPAV,R,11.799410029498524
2011,PER_1000_LIVE_BIRTHS,F,KZSEV,R,5.50148116800677
2011,PER_1000_LIVE_BIRTHS,F,KZVOS,R,10.567177054129829
2012,PER_1000_LIVE_BIRTHS,_T,,,9.025247079256886
2012,PER_1000_LIVE_BIRTHS,_T,KZAKM,,6.921187765126144
2012,PER_1000_LIVE_BIRTHS,_T,KZAKT,,8.72523733743072
2012,PER_1000_LIVE_BIRTHS,_T,KZALM,,7.509333333333333
2012,PER_1000_LIVE_BIRTHS,_T,KZATY,,11.548825869369947
2012,PER_1000_LIVE_BIRTHS,_T,KZZAP,,7.082494969818914
2012,PER_1000_LIVE_BIRTHS,_T,KZZHA,,8.721339147559432
2012,PER_1000_LIVE_BIRTHS,_T,KZKAR,,6.895707524073772
2012,PER_1000_LIVE_BIRTHS,_T,KZKUS,,9.688000610267755
2012,PER_1000_LIVE_BIRTHS,_T,KZKZY,,13.006923837784372
2012,PER_1000_LIVE_BIRTHS,_T,KZMAN,,9.080188679245282
2012,PER_1000_LIVE_BIRTHS,_T,KZONT,,9.575650132960462
2012,PER_1000_LIVE_BIRTHS,_T,KZPAV,,6.527820951196768
2012,PER_1000_LIVE_BIRTHS,_T,KZSEV,,7.10927645912166
2012,PER_1000_LIVE_BIRTHS,_T,KZVOS,,12.65768655120804
2012,PER_1000_LIVE_BIRTHS,_T,KZNS,,6.987617530699276
2012,PER_1000_LIVE_BIRTHS,_T,KZALA,,9.76227736791117
2012,PER_1000_LIVE_BIRTHS,_T,,U,9.5173417414504
2012,PER_1000_LIVE_BIRTHS,_T,KZAKM,U,8.475793707800603
2012,PER_1000_LIVE_BIRTHS,_T,KZAKT,U,10.819560402112796
2012,PER_1000_LIVE_BIRTHS,_T,KZALM,U,8.548469823901522
2012,PER_1000_LIVE_BIRTHS,_T,KZATY,U,12.257026123560728
2012,PER_1000_LIVE_BIRTHS,_T,KZZAP,U,5.979291235234068
2012,PER_1000_LIVE_BIRTHS,_T,KZZHA,U,8.970156977747111
2012,PER_1000_LIVE_BIRTHS,_T,KZKAR,U,7.2783987522745
2012,PER_1000_LIVE_BIRTHS,_T,KZKUS,U,10.655964572377526
