Year,UNIT_MEASURE,URBANISATION,SEX,REF_AREA,Value
2017,PT,R,F,KZKZY,79.17097937526557
2017,PT,,,KZMAN,89.32530438872314
2017,PT,,M,KZMAN,90.89692902145724
2017,PT,,F,KZMAN,87.78770379875952
2017,PT,U,,KZMAN,92.89004149832408
2017,PT,U,M,KZMAN,93.38246313061416
2017,PT,U,F,KZMAN,92.40277214422476
2017,PT,R,,KZMAN,86.72806378656036
2017,PT,R,M,KZMAN,89.06792249661069
2017,PT,R,F,KZMAN,84.4577456367264
2017,PT,,,KZPAV,86.54084226572034
2017,PT,,M,KZPAV,86.99817883209961
2017,PT,,F,KZPAV,86.13836373801587
2017,PT,U,,KZPAV,89.25920051254778
2017,PT,U,M,KZPAV,90.303700568443
2017,PT,U,F,KZPAV,88.38515691796773
2017,PT,R,,KZPAV,79.9411031826934
2017,PT,R,M,KZPAV,79.66393512978587
2017,PT,R,F,KZPAV,80.21661447040873
2017,PT,,,KZSEV,83.52932342704908
2017,PT,,M,KZSEV,85.53098182476407
2017,PT,,F,KZSEV,81.72498382225058
2017,PT,U,,KZSEV,86.47535573800786
2017,PT,U,M,KZSEV,87.72909345587692
2017,PT,U,F,KZSEV,85.4593899228542
2017,PT,R,,KZSEV,81.18382495897039
2017,PT,R,M,KZSEV,83.94890534187505
2017,PT,R,F,KZSEV,78.47195720203443
2017,PT,,,KZYUZ,78.75761098422967
2017,PT,,M,KZYUZ,79.6851890020448
2017,PT,,F,KZYUZ,77.81655982526003
2017,PT,U,,KZYUZ,76.56864449907552
2017,PT,U,M,KZYUZ,75.78327353657835
2017,PT,U,F,KZYUZ,77.35056748539502
2017,PT,R,,KZYUZ,79.27375537355721
2017,PT,R,M,KZYUZ,80.59463661385662
2017,PT,R,F,KZYUZ,77.92772779022087
2017,PT,,,KZVOS,85.31077619681727
2017,PT,,M,KZVOS,85.0664713787479
2017,PT,,F,KZVOS,85.52979716211733
2017,PT,U,,KZVOS,92.18319488813675
2017,PT,U,M,KZVOS,91.35374186072416
2017,PT,U,F,KZVOS,92.87837857499672
2017,PT,R,,KZVOS,74.77044914674663
2017,PT,R,M,KZVOS,76.24460566004798
2017,PT,R,F,KZVOS,73.30568811188247
2017,PT,,,KZNS,96.2942042962996
2017,PT,,M,KZNS,96.10350611838518
2017,PT,,F,KZNS,96.46750405702991
2017,PT,,,KZALA,86.45317311397147
2017,PT,,M,KZALA,86.29028327621764
2017,PT,,F,KZALA,86.58640200817301
2017,PT,,,KZSHY,91.1764425705734
2017,PT,,M,KZSHY,92.13294056897324
2017,PT,,F,KZSHY,90.3119880548654
2018,PT,,,,87.92728522221233
2018,PT,,M,,88.77549499708479
2018,PT,,F,,87.14488055706353
2018,PT,U,,,90.19975510213328
2018,PT,U,M,,91.05518870911364
2018,PT,U,F,,89.4562867926278
2018,PT,R,,,84.76850539744429
2018,PT,R,M,,85.8311847003552
2018,PT,R,F,,83.70394055799726
2018,PT,,,KZAKM,88.86720896585261
2018,PT,,M,KZAKM,90.20049032705658
2018,PT,,F,KZAKM,87.62777131386024
2018,PT,U,,KZAKM,90.64487679510889
2018,PT,U,M,KZAKM,91.9088423729812
2018,PT,U,F,KZAKM,89.5449117686082
2018,PT,R,,KZAKM,87.31034424329029
2018,PT,R,M,KZAKM,88.79737721340307
2018,PT,R,F,KZAKM,85.84592877421814
2018,PT,,,KZAKT,88.13388513700656
2018,PT,,M,KZAKT,87.71124347394873
2018,PT,,F,KZAKT,88.52264093164733
2018,PT,U,,KZAKT,90.42416930885658
2018,PT,U,M,KZAKT,89.30499325236167
2018,PT,U,F,KZAKT,91.41507023346374
2018,PT,R,,KZAKT,82.80868231779982
2018,PT,R,M,KZAKT,84.23946729948464
2018,PT,R,F,KZAKT,81.37077361857004
2018,PT,,,KZALM,91.95136060791474
2018,PT,,M,KZALM,92.90407866029491
2018,PT,,F,KZALM,91.0292774957306
2018,PT,U,,KZALM,90.13923700618138
2018,PT,U,M,KZALM,90.65411739323903
2018,PT,U,F,KZALM,89.67804585817399
2018,PT,R,,KZALM,92.47973249117592
2018,PT,R,M,KZALM,93.52723470207084
2018,PT,R,F,KZALM,91.4428077697895
2018,PT,,,KZATY,86.12814642286753
2018,PT,,M,KZATY,86.0416554087958
2018,PT,,F,KZATY,86.21084818701709
2018,PT,U,,KZATY,89.07872696817421
2018,PT,U,M,KZATY,90.42940933245532
2018,PT,U,F,KZATY,87.85393898154449
2018,PT,R,,KZATY,82.95560214794847
2018,PT,R,M,KZATY,81.58156911581568
2018,PT,R,F,KZATY,84.34645247446356
2018,PT,,,KZZAP,90.16207126041566
2018,PT,,M,KZZAP,91.1822274239833
2018,PT,,F,KZZAP,89.22060278751488
2018,PT,U,,KZZAP,95.6739212855994
2018,PT,U,M,KZZAP,96.73898090829664
2018,PT,U,F,KZZAP,94.77651216119696
2018,PT,R,,KZZAP,84.35519636607236
2018,PT,R,M,KZZAP,85.86868413942177
2018,PT,R,F,KZZAP,82.81844501079351
2018,PT,,,KZZHA,83.02438062013925
2018,PT,,M,KZZHA,84.20114835091468
2018,PT,,F,KZZHA,81.90014124409102
2018,PT,U,,KZZHA,78.67395789094456
2018,PT,U,M,KZZHA,78.54861011777047
2018,PT,U,F,KZZHA,78.78457852319755
2018,PT,R,,KZZHA,85.8879734127259
2018,PT,R,M,KZZHA,87.67840382067138
2018,PT,R,F,KZZHA,84.08595204356645
2018,PT,,,KZKAR,86.31205047109883
2018,PT,,M,KZKAR,87.26770139413502
2018,PT,,F,KZKAR,85.46465025535002
2018,PT,U,,KZKAR,87.32465610396456
2018,PT,U,M,KZKAR,88.04193551578904
2018,PT,U,F,KZKAR,86.71112185241017
2018,PT,R,,KZKAR,82.36050373130638
2018,PT,R,M,KZKAR,84.50917181434664
2018,PT,R,F,KZKAR,80.16892134849417
2018,PT,,,KZKUS,91.32357953375023
2018,PT,,M,KZKUS,91.44615433565248
2018,PT,,F,KZKUS,91.2145056448854
2018,PT,U,,KZKUS,93.6857460486025
2018,PT,U,M,KZKUS,93.18207860662312
2018,PT,U,F,KZKUS,94.10505250929565
2018,PT,R,,KZKUS,88.55495279533255
2018,PT,R,M,KZKUS,89.56079969246852
2018,PT,R,F,KZKUS,87.5875130338561
2018,PT,,,KZKZY,85.90732056275336
2018,PT,,M,KZKZY,86.58189058997472
2018,PT,,F,KZKZY,85.23702539753533
2018,PT,U,,KZKZY,93.89481046157712
2018,PT,U,M,KZKZY,93.8065238695226
2018,PT,U,F,KZKZY,93.97796083317677
2018,PT,R,,KZKZY,79.69218495320165
2018,PT,R,M,KZKZY,81.2233921043341
2018,PT,R,F,KZKZY,78.105923292475
2018,PT,,,KZMAN,88.69534726904924
2018,PT,,M,KZMAN,88.56474763894495
2018,PT,,F,KZMAN,88.82308584274139
2018,PT,U,,KZMAN,91.75555193905512
2018,PT,U,M,KZMAN,91.48311047000416
