Year,UNIT_MEASURE,SERIES,AGE,URBANISATION,SEX,REF_AREA,Value
2010,PT,_L_KZ_DD_SDD,,,,KZKZY,1.8
2010,PT,_L_KZ_DD_SDD,,,,KZMAN,4.2
2010,PT,_L_KZ_DD_SDD,,,,KZONT,5.8
2010,PT,_L_KZ_DD_SDD,,,,KZPAV,2.5
2010,PT,_L_KZ_DD_SDD,,,,KZSEV,2.3
2010,PT,_L_KZ_DD_SDD,,,,KZVOS,7.2
2010,PT,_L_KZ_DD_SDD,,,,KZNS,10.1
2010,PT,_L_KZ_DD_SDD,,,,KZALA,7.1
2010,PT,_L_KZ_DD_SDD,M0T5,,,,3.7
2010,PT,_L_KZ_DD_SDD,M6T11,,,,6.6
2010,PT,_L_KZ_DD_SDD,M12T23,,,,8.1
2010,PT,_L_KZ_DD_SDD,M24T35,,,,6.5
2010,PT,_L_KZ_DD_SDD,M36T47,,,,5.3
2010,PT,_L_KZ_DD_SDD,M48T59,,,,1.7
2015,PT,_L_KZ_DD_MSD,,,,,8.0
2015,PT,_L_KZ_DD_MSD,,,M,,7.7
2015,PT,_L_KZ_DD_MSD,,,F,,8.3
2015,PT,_L_KZ_DD_MSD,,U,,,7.2
2015,PT,_L_KZ_DD_MSD,,R,,,8.9
2015,PT,_L_KZ_DD_MSD,,,,KZAKM,2.9
2015,PT,_L_KZ_DD_MSD,,,,KZAKT,6.6
2015,PT,_L_KZ_DD_MSD,,,,KZALM,8.1
2015,PT,_L_KZ_DD_MSD,,,,KZATY,11.8
2015,PT,_L_KZ_DD_MSD,,,,KZZAP,7.4
2015,PT,_L_KZ_DD_MSD,,,,KZZHA,6.9
2015,PT,_L_KZ_DD_MSD,,,,KZKAR,5.4
2015,PT,_L_KZ_DD_MSD,,,,KZKUS,11.4
2015,PT,_L_KZ_DD_MSD,,,,KZKZY,10.0
2015,PT,_L_KZ_DD_MSD,,,,KZMAN,4.5
2015,PT,_L_KZ_DD_MSD,,,,KZONT,11.4
2015,PT,_L_KZ_DD_MSD,,,,KZPAV,5.5
2015,PT,_L_KZ_DD_MSD,,,,KZSEV,2.3
2015,PT,_L_KZ_DD_MSD,,,,KZVOS,7.2
2015,PT,_L_KZ_DD_MSD,,,,KZNS,7.1
2015,PT,_L_KZ_DD_MSD,,,,KZALA,6.3
2015,PT,_L_KZ_DD_MSD,M0T5,,,,5.0
2015,PT,_L_KZ_DD_MSD,M6T11,,,,5.8
2015,PT,_L_KZ_DD_MSD,M12T17,,,,6.8
2015,PT,_L_KZ_DD_MSD,M18T23,,,,11.0
2015,PT,_L_KZ_DD_MSD,M24T35,,,,11.5
2015,PT,_L_KZ_DD_MSD,M36T47,,,,8.4
2015,PT,_L_KZ_DD_MSD,M48T59,,,,6.0
2015,PT,_L_KZ_DD_SDD,,,,,2.4
2015,PT,_L_KZ_DD_SDD,,,M,,2.3
2015,PT,_L_KZ_DD_SDD,,,F,,2.6
2015,PT,_L_KZ_DD_SDD,,U,,,2.3
2015,PT,_L_KZ_DD_SDD,,R,,,2.5
2015,PT,_L_KZ_DD_SDD,,,,KZAKM,0.1
2015,PT,_L_KZ_DD_SDD,,,,KZAKT,4.1
2015,PT,_L_KZ_DD_SDD,,,,KZALM,2.3
2015,PT,_L_KZ_DD_SDD,,,,KZATY,4.2
2015,PT,_L_KZ_DD_SDD,,,,KZZAP,2.5
2015,PT,_L_KZ_DD_SDD,,,,KZZHA,2.5
2015,PT,_L_KZ_DD_SDD,,,,KZKAR,0.0
2015,PT,_L_KZ_DD_SDD,,,,KZKUS,3.3
2015,PT,_L_KZ_DD_SDD,,,,KZKZY,3.3
2015,PT,_L_KZ_DD_SDD,,,,KZMAN,2.0
2015,PT,_L_KZ_DD_SDD,,,,KZONT,2.4
2015,PT,_L_KZ_DD_SDD,,,,KZPAV,1.6
2015,PT,_L_KZ_DD_SDD,,,,KZSEV,0.0
2015,PT,_L_KZ_DD_SDD,,,,KZVOS,2.2
2015,PT,_L_KZ_DD_SDD,,,,KZNS,3.5
2015,PT,_L_KZ_DD_SDD,,,,KZALA,2.7
2015,PT,_L_KZ_DD_SDD,M0T5,,,,1.9
2015,PT,_L_KZ_DD_SDD,M6T11,,,,1.6
2015,PT,_L_KZ_DD_SDD,M12T17,,,,3.2
2015,PT,_L_KZ_DD_SDD,M18T23,,,,5.0
2015,PT,_L_KZ_DD_SDD,M24T35,,,,3.0
2015,PT,_L_KZ_DD_SDD,M36T47,,,,2.0
2015,PT,_L_KZ_DD_SDD,M48T59,,,,1.4
