Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZAP,1.6
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZHA,0.8
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKAR,1.6
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKUS,5.9
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKZY,3.9
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZMAN,5.8
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZONT,4.1
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZPAV,0.9
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZSEV,4.9
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZVOS,3.0
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZNS,21.7
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALA,5.0
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,,987.3
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKM,73.5
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKT,49.5
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALM,123.2
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZATY,49.0
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZAP,26.3
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZHA,41.7
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKAR,83.6
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKUS,66.4
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKZY,33.9
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZMAN,31.4
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZONT,71.5
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZPAV,48.6
