Year,UNIT_MEASURE,REF_AREA,URBANISATION,AGE,Value
2011,PT,KZKUS,,Y_GE65,0.0
2011,PT,KZKZY,,Y16T24,100.0
2011,PT,KZKZY,,M25T28,33.2
2011,PT,KZKZY,,M29T34,53.6
2011,PT,KZKZY,,Y35T44,39.8
2011,PT,KZKZY,,Y45T54,41.9
2011,PT,KZKZY,,Y55T64,18.9
2011,PT,KZKZY,,Y_GE65,0.0
2011,PT,KZMAN,,Y16T24,33.4
2011,PT,KZMAN,,M25T28,34.2
2011,PT,KZMAN,,M29T34,19.0
2011,PT,KZMAN,,Y35T44,40.4
2011,PT,KZMAN,,Y45T54,38.1
2011,PT,KZMAN,,Y55T64,24.8
2011,PT,KZMAN,,Y_GE65,0.0
2011,PT,KZONT,,Y16T24,31.6
2011,PT,KZONT,,M25T28,46.6
2011,PT,KZONT,,M29T34,48.4
2011,PT,KZONT,,Y35T44,7.5
2011,PT,KZONT,,Y45T54,24.4
2011,PT,KZONT,,Y55T64,27.4
2011,PT,KZPAV,,Y16T24,21.9
2011,PT,KZPAV,,M25T28,52.7
2011,PT,KZPAV,,M29T34,38.4
2011,PT,KZPAV,,Y35T44,35.4
2011,PT,KZPAV,,Y45T54,51.1
2011,PT,KZPAV,,Y55T64,32.5
2011,PT,KZSEV,,Y16T24,76.0
2011,PT,KZSEV,,M25T28,15.2
2011,PT,KZSEV,,M29T34,48.0
2011,PT,KZSEV,,Y35T44,39.9
2011,PT,KZSEV,,Y45T54,27.0
2011,PT,KZSEV,,Y55T64,28.1
2011,PT,KZVOS,,Y16T24,37.6
2011,PT,KZVOS,,M25T28,40.4
2011,PT,KZVOS,,M29T34,40.1
2011,PT,KZVOS,,Y35T44,38.6
2011,PT,KZVOS,,Y45T54,36.2
2011,PT,KZVOS,,Y55T64,33.9
2011,PT,KZVOS,,Y_GE65,0.0
2011,PT,KZNS,,Y16T24,48.1
2011,PT,KZNS,,M25T28,46.7
2011,PT,KZNS,,M29T34,34.4
2011,PT,KZNS,,Y35T44,45.9
2011,PT,KZNS,,Y45T54,38.6
2011,PT,KZNS,,Y55T64,36.1
2011,PT,KZNS,,Y_GE65,42.2
2011,PT,KZALA,,Y16T24,72.3
2011,PT,KZALA,,M25T28,62.5
2011,PT,KZALA,,M29T34,40.6
2011,PT,KZALA,,Y35T44,42.5
2011,PT,KZALA,,Y45T54,31.3
2011,PT,KZALA,,Y55T64,27.1
2012,PT,,,,39.7
2012,PT,KZAKM,,,36.3
2012,PT,KZAKT,,,36.1
2012,PT,KZALM,,,33.4
2012,PT,KZATY,,,31.8
2012,PT,KZZAP,,,20.404275584718
2012,PT,KZZHA,,,39.4
2012,PT,KZKAR,,,43.1
2012,PT,KZKUS,,,43.1
2012,PT,KZKZY,,,31.0
2012,PT,KZMAN,,,40.7
2012,PT,KZONT,,,28.7
2012,PT,KZPAV,,,30.9
2012,PT,KZSEV,,,40.4
2012,PT,KZVOS,,,38.1
2012,PT,KZNS,,,46.2
2012,PT,KZALA,,,46.2
2012,PT,,U,,41.9
2012,PT,KZAKM,U,,44.6
2012,PT,KZAKT,U,,35.3
2012,PT,KZALM,U,,36.9
2012,PT,KZATY,U,,39.5
2012,PT,KZZAP,U,,19.1
2012,PT,KZZHA,U,,38.8
2012,PT,KZKAR,U,,44.7
2012,PT,KZKUS,U,,45.6
2012,PT,KZKZY,U,,32.4
2012,PT,KZMAN,U,,43.9
2012,PT,KZONT,U,,35.4
2012,PT,KZPAV,U,,29.0
2012,PT,KZSEV,U,,33.8
2012,PT,KZVOS,U,,34.4
2012,PT,KZNS,U,,46.2
2012,PT,KZALA,U,,46.2
2012,PT,,R,,32.2
2012,PT,KZAKM,R,,12.8
2012,PT,KZAKT,R,,42.5
2012,PT,KZALM,R,,32.1
2012,PT,KZATY,R,,10.1
2012,PT,KZZAP,R,,25.5
2012,PT,KZZHA,R,,42.6
2012,PT,KZKAR,R,,27.0
2012,PT,KZKUS,R,,36.1
2012,PT,KZKZY,R,,28.7
2012,PT,KZMAN,R,,16.7
2012,PT,KZONT,R,,15.8
2012,PT,KZPAV,R,,39.1
2012,PT,KZSEV,R,,45.8
2012,PT,KZVOS,R,,41.6
2012,PT,,,Y16T24,58.5
2012,PT,,,M25T28,40.2
2012,PT,,,M29T34,39.0
2012,PT,,,Y35T44,38.6
2012,PT,,,Y45T54,39.2
2012,PT,,,Y55T64,33.1
2012,PT,,,Y_GE65,25.0
2012,PT,KZAKM,,Y16T24,28.2
2012,PT,KZAKM,,M25T28,31.2
2012,PT,KZAKM,,M29T34,53.5
2012,PT,KZAKM,,Y35T44,39.6
2012,PT,KZAKM,,Y45T54,37.3
2012,PT,KZAKM,,Y55T64,20.1
2012,PT,KZAKT,,Y16T24,100.0
2012,PT,KZAKT,,M25T28,48.7
2012,PT,KZAKT,,M29T34,31.7
2012,PT,KZAKT,,Y35T44,34.3
2012,PT,KZAKT,,Y45T54,37.3
2012,PT,KZAKT,,Y55T64,16.7
2012,PT,KZALM,,Y16T24,40.0
2012,PT,KZALM,,M25T28,41.0
2012,PT,KZALM,,M29T34,45.1
2012,PT,KZALM,,Y35T44,19.2
2012,PT,KZALM,,Y45T54,28.7
2012,PT,KZALM,,Y55T64,46.7
2012,PT,KZATY,,Y16T24,78.9
2012,PT,KZATY,,M25T28,35.3
2012,PT,KZATY,,M29T34,24.8
2012,PT,KZATY,,Y35T44,42.2
2012,PT,KZATY,,Y45T54,25.9
2012,PT,KZATY,,Y55T64,13.7
2012,PT,KZATY,,Y_GE65,0.0
2012,PT,KZZAP,,M29T34,11.7
2012,PT,KZZAP,,Y35T44,15.5
