Year,UNIT_MEASURE,REF_AREA,SEX,Value
2014,PT,KZMAN,,1.2251748547950718
2014,PT,KZYUZ,,6.528701081334311
2014,PT,KZPAV,,10.3095894304165
2014,PT,KZSEV,,8.191157470501484
2014,PT,KZVOS,,8.251644578293229
2014,PT,,M,9.711534440861447
2014,PT,KZAKM,M,9.836348482619991
2014,PT,KZAKT,M,8.460787745117102
2014,PT,KZALM,M,15.156032636576724
2014,PT,KZATY,M,4.711503534605606
2014,PT,KZZAP,M,14.580281585011988
2014,PT,KZZHA,M,7.720232840019753
2014,PT,KZKAR,M,9.829187380384631
2014,PT,KZKUS,M,12.075435481549018
2014,PT,KZKZY,M,5.854154467830462
2014,PT,KZMAN,M,2.505083942907389
2014,PT,KZYUZ,M,12.201398587582132
2014,PT,KZPAV,M,22.25236929137781
2014,PT,KZSEV,M,11.121720256522574
2014,PT,KZVOS,M,11.926598933140689
2014,PT,,F,3.433270472821785
2014,PT,KZAKM,F,4.923791368458343
2014,PT,KZAKT,F,5.874888869605367
2014,PT,KZALM,F,6.3766849427446815
2014,PT,KZATY,F,1.6079952956764905
2014,PT,KZZAP,F,6.160982797714675
2014,PT,KZZHA,F,1.4958423778292935
2014,PT,KZKAR,F,4.144392914881816
2014,PT,KZKUS,F,12.0955669438465
2014,PT,KZKZY,F,0.1952200171129036
2014,PT,KZMAN,F,0.013912111523608
2014,PT,KZYUZ,F,1.1634771874030996
2014,PT,KZPAV,F,0.226485909340926
2014,PT,KZSEV,F,5.65215073823357
2014,PT,KZVOS,F,5.069475579435725
2015,PT,,,6.167102538579843
2015,PT,KZAKM,,7.217801206345988
2015,PT,KZAKT,,7.027082001010124
2015,PT,KZALM,,10.82555393524632
2015,PT,KZATY,,3.076781075699837
2015,PT,KZZAP,,10.111470977184052
2015,PT,KZZHA,,3.455780396375322
2015,PT,KZKAR,,6.754110257378359
2015,PT,KZKUS,,12.047120141030252
2015,PT,KZKZY,,2.986324745366488
2015,PT,KZMAN,,1.2353822157728511
2015,PT,KZYUZ,,6.472015951147539
2015,PT,KZPAV,,10.3448911662521
2015,PT,KZSEV,,8.323080446699759
2015,PT,KZVOS,,6.915875194192488
2015,PT,,M,9.28740826052624
2015,PT,KZAKM,M,9.801442846050902
2015,PT,KZAKT,M,8.383607430465643
2015,PT,KZALM,M,15.449993254664202
2015,PT,KZATY,M,4.444163148944133
2015,PT,KZZAP,M,14.5639634786324
2015,PT,KZZHA,M,5.475713809047143
2015,PT,KZKAR,M,9.824299145253514
2015,PT,KZKUS,M,11.983023037878327
2015,PT,KZKZY,M,5.870744525423801
2015,PT,KZMAN,M,2.5162415336686195
2015,PT,KZYUZ,M,12.378097855081917
2015,PT,KZPAV,M,22.297114660194733
2015,PT,KZSEV,M,11.084817412980936
2015,PT,KZVOS,M,8.92255183091906
2015,PT,,F,3.4012183873910518
2015,PT,KZAKM,F,4.904479848802701
2015,PT,KZAKT,F,5.827469106228451
2015,PT,KZALM,F,6.517071583834859
2015,PT,KZATY,F,1.8187710130838093
2015,PT,KZZAP,F,6.146280737090474
2015,PT,KZZHA,F,1.6089690422589304
2015,PT,KZKAR,F,4.146979485435793
2015,PT,KZKUS,F,12.101909086683964
2015,PT,KZKZY,F,0.1927671311534241
2015,PT,KZMAN,F,0.0216621411263305
2015,PT,KZYUZ,F,0.8777980027416062
2015,PT,KZPAV,F,0.2449368380468555
2015,PT,KZSEV,F,5.927788523533204
2015,PT,KZVOS,F,5.177975097812227
2016,PT,,,5.947566036466102
2016,PT,KZAKM,,7.302879719992831
2016,PT,KZAKT,,7.007086993574893
2016,PT,KZALM,,10.962680875925985
2016,PT,KZATY,,3.0749809668204504
2016,PT,KZZAP,,10.17172057538988
2016,PT,KZZHA,,3.52950142124467
2016,PT,KZKAR,,6.772554495956336
2016,PT,KZKUS,,12.083380175020263
2016,PT,KZKZY,,3.0322993680558423
2016,PT,KZMAN,,1.2452800992368251
2016,PT,KZYUZ,,6.223277700815797
2016,PT,KZPAV,,10.26867703473942
2016,PT,KZSEV,,3.4140001209071755
2016,PT,KZVOS,,6.919737424838196
2016,PT,,M,9.224788976309444
2016,PT,KZAKM,M,9.957651546685897
2016,PT,KZAKT,M,8.37473878034167
2016,PT,KZALM,M,16.836879309432767
2016,PT,KZATY,M,4.479508285732902
2016,PT,KZZAP,M,14.67317407629606
2016,PT,KZZHA,M,5.633962275393797
2016,PT,KZKAR,M,9.839694574853755
2016,PT,KZKUS,M,11.997467400799852
2016,PT,KZKZY,M,5.961078723315019
2016,PT,KZMAN,M,2.5470670689448536
2016,PT,KZYUZ,M,11.765067250637816
2016,PT,KZPAV,M,22.3526197722874
2016,PT,KZSEV,M,7.108223744257983
2016,PT,KZVOS,M,9.277950350741175
2016,PT,,F,3.041477748548792
2016,PT,KZAKM,F,4.921908821472576
2016,PT,KZAKT,F,5.79742458759472
2016,PT,KZALM,F,5.481125430641963
2016,PT,KZATY,F,1.7817728239649444
2016,PT,KZZAP,F,6.167319184009891
2016,PT,KZZHA,F,1.6016048801457492
2016,PT,KZKAR,F,4.163638298704571
2016,PT,KZKUS,F,12.1569828359244
2016,PT,KZKZY,F,0.1912201472801985
2016,PT,KZMAN,F,0.0103805458684191
2016,PT,KZYUZ,F,0.9666257050454776
2016,PT,KZPAV,F,0.0458977651694555
2016,PT,KZSEV,F,0.2042319466563537
2016,PT,KZVOS,F,4.87781706393486
2017,PT,,,6.100887064527785
2017,PT,KZAKM,,7.598447290809104
2017,PT,KZAKT,,6.333373720756804
2017,PT,KZALM,,10.926600430832377
2017,PT,KZATY,,3.0594782930439077
2017,PT,KZZAP,,10.238460046336357
2017,PT,KZZHA,,4.01034456856496
2017,PT,KZKAR,,6.811219875275411
2017,PT,KZKUS,,12.113928650142665
2017,PT,KZKZY,,3.186342605644993
2017,PT,KZMAN,,0.8263174500636636
2017,PT,KZYUZ,,6.187991035180959
2017,PT,KZPAV,,10.335196274945671
2017,PT,KZSEV,,8.346185996679893
2017,PT,KZVOS,,7.198534161828069
2017,PT,,M,10.442192621413476
