Year,UNIT_MEASURE,SERIES,AGE,URBANISATION,SEX,REF_AREA,Value
2010,PT,SN_STA_OVWGTN,,,,KZAKM,13.6
2010,PT,SN_STA_OVWGTN,,,,KZAKT,33.5
2010,PT,SN_STA_OVWGTN,,,,KZALM,7.6
2010,PT,SN_STA_OVWGTN,,,,KZATY,16.2
2010,PT,SN_STA_OVWGTN,,,,KZZAP,6.6
2010,PT,SN_STA_OVWGTN,,,,KZZHA,21.3
2010,PT,SN_STA_OVWGTN,,,,KZKAR,6.1
2010,PT,SN_STA_OVWGTN,,,,KZKUS,6.6
2010,PT,SN_STA_OVWGTN,,,,KZKZY,6.8
2010,PT,SN_STA_OVWGTN,,,,KZMAN,15.7
2010,PT,SN_STA_OVWGTN,,,,KZONT,11.1
2010,PT,SN_STA_OVWGTN,,,,KZPAV,13.6
2010,PT,SN_STA_OVWGTN,,,,KZSEV,11.6
2010,PT,SN_STA_OVWGTN,,,,KZVOS,20.2
2010,PT,SN_STA_OVWGTN,,,,KZNS,22.1
2010,PT,SN_STA_OVWGTN,,,,KZALA,15.6
2010,PT,SN_STA_OVWGTN,M0T5,,,,9.8
2010,PT,SN_STA_OVWGTN,M6T11,,,,19.0
2010,PT,SN_STA_OVWGTN,M12T23,,,,17.4
2010,PT,SN_STA_OVWGTN,M24T35,,,,12.9
2010,PT,SN_STA_OVWGTN,M36T47,,,,11.6
2010,PT,SN_STA_OVWGTN,M48T59,,,,9.7
2015,PT,_L_KZ_DD_MSD,,,,,3.1
2015,PT,_L_KZ_DD_MSD,,,M,,2.9
2015,PT,_L_KZ_DD_MSD,,,F,,3.3
2015,PT,_L_KZ_DD_MSD,,U,,,3.1
2015,PT,_L_KZ_DD_MSD,,R,,,3.1
2015,PT,_L_KZ_DD_MSD,,,,KZAKM,1.4
2015,PT,_L_KZ_DD_MSD,,,,KZAKT,6.3
2015,PT,_L_KZ_DD_MSD,,,,KZALM,4.4
2015,PT,_L_KZ_DD_MSD,,,,KZATY,5.9
2015,PT,_L_KZ_DD_MSD,,,,KZZAP,1.5
2015,PT,_L_KZ_DD_MSD,,,,KZZHA,3.2
2015,PT,_L_KZ_DD_MSD,,,,KZKAR,1.6
2015,PT,_L_KZ_DD_MSD,,,,KZKUS,4.2
2015,PT,_L_KZ_DD_MSD,,,,KZKZY,2.1
2015,PT,_L_KZ_DD_MSD,,,,KZMAN,3.4
2015,PT,_L_KZ_DD_MSD,,,,KZONT,2.9
2015,PT,_L_KZ_DD_MSD,,,,KZPAV,5.5
2015,PT,_L_KZ_DD_MSD,,,,KZSEV,1.6
2015,PT,_L_KZ_DD_MSD,,,,KZVOS,1.9
2015,PT,_L_KZ_DD_MSD,,,,KZNS,1.3
2015,PT,_L_KZ_DD_MSD,,,,KZALA,3.5
2015,PT,_L_KZ_DD_MSD,M0T5,,,,13.7
2015,PT,_L_KZ_DD_MSD,M6T11,,,,2.8
2015,PT,_L_KZ_DD_MSD,M12T17,,,,1.7
2015,PT,_L_KZ_DD_MSD,M18T23,,,,3.5
2015,PT,_L_KZ_DD_MSD,M24T35,,,,1.8
2015,PT,_L_KZ_DD_MSD,M36T47,,,,1.7
2015,PT,_L_KZ_DD_MSD,M48T59,,,,1.9
2015,PT,_L_KZ_DD_SDD,,,,,1.1
2015,PT,_L_KZ_DD_SDD,,,M,,1.1
2015,PT,_L_KZ_DD_SDD,,,F,,1.0
2015,PT,_L_KZ_DD_SDD,,U,,,1.3
2015,PT,_L_KZ_DD_SDD,,R,,,0.8
2015,PT,_L_KZ_DD_SDD,,,,KZAKM,0.2
2015,PT,_L_KZ_DD_SDD,,,,KZAKT,2.5
2015,PT,_L_KZ_DD_SDD,,,,KZALM,1.2
2015,PT,_L_KZ_DD_SDD,,,,KZATY,3.6
2015,PT,_L_KZ_DD_SDD,,,,KZZAP,1.2
2015,PT,_L_KZ_DD_SDD,,,,KZZHA,0.9
2015,PT,_L_KZ_DD_SDD,,,,KZKAR,0.0
2015,PT,_L_KZ_DD_SDD,,,,KZKUS,1.1
2015,PT,_L_KZ_DD_SDD,,,,KZKZY,0.7
2015,PT,_L_KZ_DD_SDD,,,,KZMAN,1.0
2015,PT,_L_KZ_DD_SDD,,,,KZONT,0.9
2015,PT,_L_KZ_DD_SDD,,,,KZPAV,2.4
2015,PT,_L_KZ_DD_SDD,,,,KZSEV,0.0
2015,PT,_L_KZ_DD_SDD,,,,KZVOS,0.9
2015,PT,_L_KZ_DD_SDD,,,,KZNS,0.3
2015,PT,_L_KZ_DD_SDD,,,,KZALA,1.4
2015,PT,_L_KZ_DD_SDD,M0T5,,,,4.9
2015,PT,_L_KZ_DD_SDD,M6T11,,,,1.0
2015,PT,_L_KZ_DD_SDD,M12T17,,,,0.8
2015,PT,_L_KZ_DD_SDD,M18T23,,,,0.9
2015,PT,_L_KZ_DD_SDD,M24T35,,,,0.9
2015,PT,_L_KZ_DD_SDD,M36T47,,,,0.2
2015,PT,_L_KZ_DD_SDD,M48T59,,,,0.7
2015,PT,SN_STA_OVWGTN,,,,,9.3
2015,PT,SN_STA_OVWGTN,,,M,,8.7
2015,PT,SN_STA_OVWGTN,,,F,,10.0
2015,PT,SN_STA_OVWGTN,,U,,,11.2
2015,PT,SN_STA_OVWGTN,,R,,,7.6
2015,PT,SN_STA_OVWGTN,,,,KZAKM,4.9
2015,PT,SN_STA_OVWGTN,,,,KZAKT,10.3
