Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2015,TH_TNG,_L_KZ_070b01_1A,KZNS,219770225.0
2016,TH_TNG,_L_KZ_070b01_1A,KZNS,198683876.0
2017,TH_TNG,_L_KZ_070b01_1A,KZNS,220265254.0
2018,TH_TNG,_L_KZ_070b01_1A,KZNS,196351896.0
2010,TH_TNG,_L_KZ_070b01_1A,KZALA,133407670.0
2011,TH_TNG,_L_KZ_070b01_1A,KZALA,127619205.0
2012,TH_TNG,_L_KZ_070b01_1A,KZALA,128712886.0
2013,TH_TNG,_L_KZ_070b01_1A,KZALA,99830961.0
2014,TH_TNG,_L_KZ_070b01_1A,KZALA,152784102.0
2015,TH_TNG,_L_KZ_070b01_1A,KZALA,185766868.0
2016,TH_TNG,_L_KZ_070b01_1A,KZALA,130791479.0
2017,TH_TNG,_L_KZ_070b01_1A,KZALA,132603878.0
2018,TH_TNG,_L_KZ_070b01_1A,KZALA,148406671.0
2018,TH_TNG,_L_KZ_070b01_1A,KZSHY,47161732.0
2010,TH_TNG,_L_KZ_070b01_1C,,2239305596.0
2011,TH_TNG,_L_KZ_070b01_1C,,2640408294.0
2012,TH_TNG,_L_KZ_070b01_1C,,3162532809.0
2013,TH_TNG,_L_KZ_070b01_1C,,3957235239.0
2014,TH_TNG,_L_KZ_070b01_1C,,4202318716.0
2015,TH_TNG,_L_KZ_070b01_1C,,4542902222.0
2016,TH_TNG,_L_KZ_070b01_1C,,5022388674.0
2017,TH_TNG,_L_KZ_070b01_1C,,6212525241.0
2018,TH_TNG,_L_KZ_070b01_1C,,8270308594.0
2010,TH_TNG,_L_KZ_070b01_1C,KZAKM,53701346.0
2011,TH_TNG,_L_KZ_070b01_1C,KZAKM,57521256.0
2012,TH_TNG,_L_KZ_070b01_1C,KZAKM,76923896.0
2013,TH_TNG,_L_KZ_070b01_1C,KZAKM,89235091.0
2014,TH_TNG,_L_KZ_070b01_1C,KZAKM,133929294.0
2015,TH_TNG,_L_KZ_070b01_1C,KZAKM,154754041.0
2016,TH_TNG,_L_KZ_070b01_1C,KZAKM,179188618.0
2017,TH_TNG,_L_KZ_070b01_1C,KZAKM,171193713.0
2018,TH_TNG,_L_KZ_070b01_1C,KZAKM,206553712.0
2010,TH_TNG,_L_KZ_070b01_1C,KZAKT,248742874.0
2011,TH_TNG,_L_KZ_070b01_1C,KZAKT,254536558.0
2012,TH_TNG,_L_KZ_070b01_1C,KZAKT,292704669.0
2013,TH_TNG,_L_KZ_070b01_1C,KZAKT,426694718.0
2014,TH_TNG,_L_KZ_070b01_1C,KZAKT,407375114.0
2015,TH_TNG,_L_KZ_070b01_1C,KZAKT,275098829.0
2016,TH_TNG,_L_KZ_070b01_1C,KZAKT,313672630.0
2017,TH_TNG,_L_KZ_070b01_1C,KZAKT,337384643.0
2018,TH_TNG,_L_KZ_070b01_1C,KZAKT,389155733.0
2010,TH_TNG,_L_KZ_070b01_1C,KZALM,202961052.0
2011,TH_TNG,_L_KZ_070b01_1C,KZALM,306036230.0
2012,TH_TNG,_L_KZ_070b01_1C,KZALM,278548419.0
2013,TH_TNG,_L_KZ_070b01_1C,KZALM,319843453.0
2014,TH_TNG,_L_KZ_070b01_1C,KZALM,309317088.0
2015,TH_TNG,_L_KZ_070b01_1C,KZALM,358513610.0
2016,TH_TNG,_L_KZ_070b01_1C,KZALM,340194879.0
2017,TH_TNG,_L_KZ_070b01_1C,KZALM,340412056.0
2018,TH_TNG,_L_KZ_070b01_1C,KZALM,381146508.0
2010,TH_TNG,_L_KZ_070b01_1C,KZATY,200774488.0
2011,TH_TNG,_L_KZ_070b01_1C,KZATY,253501423.0
2012,TH_TNG,_L_KZ_070b01_1C,KZATY,476676778.0
2013,TH_TNG,_L_KZ_070b01_1C,KZATY,601055653.0
2014,TH_TNG,_L_KZ_070b01_1C,KZATY,833570163.0
2015,TH_TNG,_L_KZ_070b01_1C,KZATY,1028509285.0
2016,TH_TNG,_L_KZ_070b01_1C,KZATY,1452732822.0
2017,TH_TNG,_L_KZ_070b01_1C,KZATY,2276455829.0
2018,TH_TNG,_L_KZ_070b01_1C,KZATY,3417445712.0
2010,TH_TNG,_L_KZ_070b01_1C,KZZAP,62521146.0
2011,TH_TNG,_L_KZ_070b01_1C,KZZAP,51552814.0
2012,TH_TNG,_L_KZ_070b01_1C,KZZAP,73187501.0
2013,TH_TNG,_L_KZ_070b01_1C,KZZAP,79942349.0
2014,TH_TNG,_L_KZ_070b01_1C,KZZAP,97520629.0
2015,TH_TNG,_L_KZ_070b01_1C,KZZAP,155057641.0
2016,TH_TNG,_L_KZ_070b01_1C,KZZAP,79802640.0
2017,TH_TNG,_L_KZ_070b01_1C,KZZAP,79412664.0
2018,TH_TNG,_L_KZ_070b01_1C,KZZAP,117096705.0
2010,TH_TNG,_L_KZ_070b01_1C,KZZHA,101455224.0
2011,TH_TNG,_L_KZ_070b01_1C,KZZHA,46563964.0
2012,TH_TNG,_L_KZ_070b01_1C,KZZHA,43299347.0
2013,TH_TNG,_L_KZ_070b01_1C,KZZHA,161051801.0
2014,TH_TNG,_L_KZ_070b01_1C,KZZHA,132040337.0
2015,TH_TNG,_L_KZ_070b01_1C,KZZHA,134758577.0
2016,TH_TNG,_L_KZ_070b01_1C,KZZHA,140214230.0
2017,TH_TNG,_L_KZ_070b01_1C,KZZHA,151302800.0
2018,TH_TNG,_L_KZ_070b01_1C,KZZHA,184089384.0
2010,TH_TNG,_L_KZ_070b01_1C,KZKAR,113466553.0
2011,TH_TNG,_L_KZ_070b01_1C,KZKAR,123923223.0
2012,TH_TNG,_L_KZ_070b01_1C,KZKAR,172792742.0
2013,TH_TNG,_L_KZ_070b01_1C,KZKAR,264522600.0
2014,TH_TNG,_L_KZ_070b01_1C,KZKAR,256500473.0
2015,TH_TNG,_L_KZ_070b01_1C,KZKAR,221288181.0
2016,TH_TNG,_L_KZ_070b01_1C,KZKAR,193907053.0
2017,TH_TNG,_L_KZ_070b01_1C,KZKAR,213412694.0
2018,TH_TNG,_L_KZ_070b01_1C,KZKAR,265120468.0
2010,TH_TNG,_L_KZ_070b01_1C,KZKUS,89361565.0
2011,TH_TNG,_L_KZ_070b01_1C,KZKUS,114601877.0
2012,TH_TNG,_L_KZ_070b01_1C,KZKUS,126652516.0
2013,TH_TNG,_L_KZ_070b01_1C,KZKUS,135058484.0
2014,TH_TNG,_L_KZ_070b01_1C,KZKUS,141177782.0
2015,TH_TNG,_L_KZ_070b01_1C,KZKUS,133747224.0
2016,TH_TNG,_L_KZ_070b01_1C,KZKUS,143230986.0
2017,TH_TNG,_L_KZ_070b01_1C,KZKUS,147902322.0
2018,TH_TNG,_L_KZ_070b01_1C,KZKUS,175883031.0
2010,TH_TNG,_L_KZ_070b01_1C,KZKZY,130762672.0
2011,TH_TNG,_L_KZ_070b01_1C,KZKZY,93716685.0
2012,TH_TNG,_L_KZ_070b01_1C,KZKZY,143023117.0
2013,TH_TNG,_L_KZ_070b01_1C,KZKZY,234719456.0
2014,TH_TNG,_L_KZ_070b01_1C,KZKZY,129940156.0
2015,TH_TNG,_L_KZ_070b01_1C,KZKZY,158414104.0
2016,TH_TNG,_L_KZ_070b01_1C,KZKZY,121290310.0
2017,TH_TNG,_L_KZ_070b01_1C,KZKZY,160405376.0
2018,TH_TNG,_L_KZ_070b01_1C,KZKZY,207592214.0
2010,TH_TNG,_L_KZ_070b01_1C,KZMAN,213959933.0
2011,TH_TNG,_L_KZ_070b01_1C,KZMAN,231233479.0
2012,TH_TNG,_L_KZ_070b01_1C,KZMAN,247607366.0
2013,TH_TNG,_L_KZ_070b01_1C,KZMAN,277293045.0
2014,TH_TNG,_L_KZ_070b01_1C,KZMAN,327228907.0
2015,TH_TNG,_L_KZ_070b01_1C,KZMAN,298572009.0
2016,TH_TNG,_L_KZ_070b01_1C,KZMAN,293445593.0
2017,TH_TNG,_L_KZ_070b01_1C,KZMAN,338783270.0
2018,TH_TNG,_L_KZ_070b01_1C,KZMAN,415888024.0
2010,TH_TNG,_L_KZ_070b01_1C,KZONT,157757047.0
2011,TH_TNG,_L_KZ_070b01_1C,KZONT,158968661.0
2012,TH_TNG,_L_KZ_070b01_1C,KZONT,163946146.0
2013,TH_TNG,_L_KZ_070b01_1C,KZONT,278992468.0
2014,TH_TNG,_L_KZ_070b01_1C,KZONT,280635168.0
2015,TH_TNG,_L_KZ_070b01_1C,KZONT,281788151.0
2016,TH_TNG,_L_KZ_070b01_1C,KZONT,203715656.0
2017,TH_TNG,_L_KZ_070b01_1C,KZONT,277749978.0
2010,TH_TNG,_L_KZ_070b01_1C,KZPAV,138498740.0
2011,TH_TNG,_L_KZ_070b01_1C,KZPAV,144249501.0
2012,TH_TNG,_L_KZ_070b01_1C,KZPAV,167224275.0
2013,TH_TNG,_L_KZ_070b01_1C,KZPAV,173458876.0
2014,TH_TNG,_L_KZ_070b01_1C,KZPAV,221224498.0
2015,TH_TNG,_L_KZ_070b01_1C,KZPAV,243058911.0
2016,TH_TNG,_L_KZ_070b01_1C,KZPAV,256076420.0
2017,TH_TNG,_L_KZ_070b01_1C,KZPAV,355596349.0
2018,TH_TNG,_L_KZ_070b01_1C,KZPAV,294764641.0
2010,TH_TNG,_L_KZ_070b01_1C,KZSEV,33326255.0
2011,TH_TNG,_L_KZ_070b01_1C,KZSEV,48817284.0
2012,TH_TNG,_L_KZ_070b01_1C,KZSEV,68713195.0
2013,TH_TNG,_L_KZ_070b01_1C,KZSEV,77874967.0
2014,TH_TNG,_L_KZ_070b01_1C,KZSEV,93300654.0
2015,TH_TNG,_L_KZ_070b01_1C,KZSEV,122028401.0
2016,TH_TNG,_L_KZ_070b01_1C,KZSEV,135740603.0
2017,TH_TNG,_L_KZ_070b01_1C,KZSEV,151055887.0
2018,TH_TNG,_L_KZ_070b01_1C,KZSEV,155900300.0
2018,TH_TNG,_L_KZ_070b01_1C,KZYUZ,166364874.0
2010,TH_TNG,_L_KZ_070b01_1C,KZVOS,91483979.0
2011,TH_TNG,_L_KZ_070b01_1C,KZVOS,148927182.0
2012,TH_TNG,_L_KZ_070b01_1C,KZVOS,165104319.0
